OrderNumber	InvoiceDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate	OrderDate
590921	01/14/2011	92	Posted To General Ledger	70	4	17	101	43452	GR	19887.64	4664 NORTH LOWELL 	SUITE 2A	CHICAGO	LOBSTER GRAM	IL	60630	4664 NORTH LOWELL	SUITE 2A	CHICAGO	LOBSTER GRAM	IL	60630     	1251	40	0	1	19887.64	10/14/2010	19887.64	Net 30 Days	10/14/2010	10/14/2010
594731	01/12/2011	92	Posted To General Ledger	3292	4	37	30		MC	582.77	3316 EAST 86TH ST		INDIANAPOLIS	SULLIVAN'S STEAKHOUSE	IN	46240	3316 EAST 86TH ST		INDIANAPOLIS	SULLIVAN'S STEAKHOUSE - INDY	IN	46240	52.1	0	0	1	551.47	12/07/2010	551.47	Net 14 Days	12/07/2010	12/07/2010
594732	01/12/2011	92	Posted To General Ledger	4025	4	37	30		MC	637.1	20 WEST 5TH AVENUE	FIFTH AVENUE MALL	ANCHORAGE	SULLIVAN'S OF ANCHORAGE	AK	99501	20 WEST 5TH AVENUE	FIFTH AVENUE MALL	ANCHORAGE	SULLIVAN'S OF ANCHORAGE	AK	99501	52.52	0	0	1	555.76	12/07/2010	555.76	Net 14 Days	12/07/2010	12/07/2010
594733	01/12/2011	92	Posted To General Ledger	4027	4	37	30		MC	627.58	5252 CORPORATE BLVD.		BATON ROUGE	SULLIVAN'S OF BATON ROUGE	LA	70808	5252 CORPORATE BLVD.		BATON ROUGE	SULLIVAN'S OF BATON ROUGE	LA	70808	52.62	0	0	1	557.02	12/07/2010	557.02	Net 14 Days	12/07/2010	12/07/2010
594735	01/12/2011	92	Posted To General Ledger	4028	4	37	30		MC	628.52	1745-61 WAZEE STREET		DENVER	SULLIVAN'S OF DENVER	CO	80202	1745-61 WAZEE STREET		DENVER	SULLIVAN'S OF DENVER	CO	80202	52.7	0	0	1	557.96	12/07/2010	557.96	Net 14 Days	12/07/2010	12/07/2010
594736	01/12/2011	92	Posted To General Ledger	4029	4	37	30		MC	622.3	300 COLORADO STREET	SUITE 200	AUSTIN	SULLIVAN'S OF AUSTIN	TX	78701	300 COLORADO STREET	SUITE 200	AUSTIN	SULLIVAN'S OF AUSTIN	TX	78701	52.12	0	0	1	551.74	12/07/2010	551.74	Net 14 Days	12/07/2010	12/07/2010
594738	01/12/2011	92	Posted To General Ledger	4030	4	37	30		MC	621.09	1928 SOUTH BOULEVARD	SUITE 200	CHARLOTTE	SULLIVAN'S OF CHARLOTTE	NC	28203	1928 SOUTH BOULEVARD	43	CHARLOTTE	SULLIVAN'S OF CHARLOTTE	NC	28203	52.48	0	0	1	555.52	12/07/2010	555.52	Net 14 Days	12/07/2010	12/07/2010
594740	01/12/2011	92	Posted To General Ledger	4031	4	10	30		MC	232.36	17795 NORTH DALLAS PARKWAY		DALLAS	SULLIVAN'S OF DALLAS	TX	75287	17795 NORTH DALLAS PARKWAY		DALLAS	SULLIVAN'S OF DALLAS	TX	75287	18.02	0	0	1	202.73	12/07/2010	202.73	Net 14 Days	12/07/2010	12/07/2010
594741	01/12/2011	92	Posted To General Ledger	4032	4	37	30		MC	630.34	4608 WESTHEIMER		HOUSTON	SULLIVAN'S OF HOUSTON	TX	77027	4608 WESTHEIMER		HOUSTON	SULLIVAN'S OF HOUSTON	TX	77027	52.88	0	0	1	559.78	12/07/2010	559.78	Net 14 Days	12/07/2010	12/07/2010
594742	01/12/2011	92	Posted To General Ledger	4033	4	37	30		MC	632.42	73-505 EL PASEO	SUITE 2600	PALM DESERT	SULLIVAN'S OF PALM DESERT	CA	92260	73-505 EL PASEO	SUITE 2600	PALM DESERT	SULLIVAN'S OF PALM DESERT	CA	92260	52.4	0	0	1	554.77	12/07/2010	554.77	Net 14 Days	12/07/2010	12/07/2010
