PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
     30298	   998-1-01	0	200	EA 	EA 	02/07/2011	24.12	200	0	200	200	200	200	0	200 bxs of 4 syp knives	                              	                              	                              
     30298	   998-1-01	0	1	EA 	EA 	02/07/2011	333	1	0	1	1	1	1	0	S&H	                              	                              	                              
     30299	   998-1-01	0	40	EA 	EA 	01/05/2011	13.14	40	0	40	40	40	40	0	                              	                              	                              	                              
     30299	   998-1-01	0	5.32	EA 	EA 	01/05/2011	19.71	5.32	0	5.32	5.32	5.32	5.32	0	                              	                              	                              	                              
     30299	   998-1-01	0	26	EA 	EA 	01/05/2011	13.14	26	0	26	26	26	26	0	                              	                              	                              	                              
     30299	   998-1-01	0	40	EA 	EA 	01/05/2011	13.14	40	0	40	40	40	40	0	                              	                              	                              	                              
     30299	   998-1-01	0	1	EA 	EA 	01/05/2011	19.71	1	0	1	1	1	1	0	                              	                              	                              	                              
     30299	   998-1-01	0	27.5	EA 	EA 	01/05/2011	18	27.5	0	27.5	27.5	27.5	27.5	0	                              	                              	                              	                              
     30299	   998-1-01	0	32.93	EA 	EA 	01/05/2011	18	32.93	0	32.93	32.93	32.93	32.93	0	                              	                              	                              	                              
     30299	   998-1-01	0	33.75	EA 	EA 	01/05/2011	13.14	33.75	0	33.75	33.75	33.75	33.75	0	                              	                              	                              	                              
     30299	   998-1-01	0	33.58	EA 	EA 	01/05/2011	13.14	33.58	0	33.58	33.58	33.58	33.58	0	                              	                              	                              	                              
     30299	   998-1-01	0	33	EA 	EA 	01/05/2011	13.14	33	0	33	33	33	33	0	                              	                              	                              	                              
     30302	   998-1-01	0	13.47	EA 	EA 	01/18/2011	13.14	13.47	0	13.47	13.47	13.47	13.47	0	                              	                              	                              	                              
     30302	   998-1-01	0	5.38	EA 	EA 	01/18/2011	13.14	5.38	0	5.38	5.38	5.38	5.38	0	                              	                              	                              	                              
     30302	   998-1-01	0	40	EA 	EA 	01/18/2011	18	40	0	40	40	40	40	0	                              	                              	                              	                              
     30302	   998-1-01	0	0.22	EA 	EA 	01/18/2011	27	0.22	0	0.22	0.22	0.22	0.22	0	                              	                              	                              	                              
     30303	   998-1-01	0	7	EA 	EA 	01/25/2011	13.14	7	0	7	7	7	7	0	                              	                              	                              	                              
     30303	   998-1-01	0	8.05	EA 	EA 	01/25/2011	18	8.05	0	8.05	8.05	8.05	8.05	0	                              	                              	                              	                              
     30305	   998-1-01	0	16.5	EA 	EA 	02/01/2011	13.14	16.5	0	16.5	16.5	16.5	16.5	0	                              	                              	                              	                              
     30308	   207-1-01	0	2	CS 	CS 	02/17/2011	179.98	2	2	2	2	2	2	0	                              	                              	                              	                              
     30309	   246-1-01	0	4	BX 	BX 	02/28/2011	131.4875	4	4	4	4	4	4	0	                              	                              	                              	                              
