Date	PO_Number	WarehouseCode	VendorCode	TermsCode	RequiredDate	AmountInvoiced	EstimatedTotalOrder	EstimatedTotalWeight	TotalOrderReceived	Status
03/31/2011	     12710	1	1	1	04/01/2011	0	93.87	63	0	0
04/25/2011	     56201	1	12067	1	04/26/2011	6125.98	5995	1040	6125.98	2
04/25/2011	     56202	1	12710	1	04/25/2011	257.22	199.08	126	257.22	2
05/12/2011	     56203	6	14126	1	05/16/2011	92978.63	114722.15	15595.06	92978.63	2
04/26/2011	     56204	6	12450	1	04/28/2011	334453.94	316075.74	38625.9	334453.94	2
04/26/2011	     56205	1	13302	1	04/27/2011	1692.31	1709.4	60	1692.31	2
04/26/2011	     56206	6	13302	1	05/02/2011	99618.75	92814.15	11250.2	99618.75	2
04/26/2011	     56207	6	13302	1	05/09/2011	100684.65	92814.15	11250.2	100684.65	2
04/26/2011	     56208	6	13302	1	05/16/2011	99098.18	92814.15	11250.2	99098.18	2
04/27/2011	     56209	1	12710	1	04/27/2011	2593.07	2945.23	1090.01	2593.07	2
04/26/2011	     56210	1	10900	1	04/28/2011	894.4	820	725	894.4	2
04/26/2011	     56211	1	16085	1	04/27/2011	3077.75	2240	448	3077.75	2
04/26/2011	     56212	1	13202	5	04/27/2011	20762.5	19160.63	830.01	20762.5	2
04/26/2011	     56213	1	12067	1	05/03/2011	4727.72	4393.5	530	4727.72	2
04/26/2011	     56214	1	12067	1	04/27/2011	1122.15	1074	120	1122.15	2
04/26/2011	     56215	1	13302	1	04/25/2011	12728.12	11603.89	1070.01	12728.12	2
04/26/2011	     56216	1	11250	1	04/27/2011	1173.73	577.4	83	1173.73	2
04/26/2011	     56217	1	11750	1	05/03/2011	63709.58	63872.06	6860.42	63709.58	2
04/26/2011	     56218	6	16114	1	05/02/2011	25665.24	32640	6400	25665.24	2
04/26/2011	     56219	6	13780	1	05/02/2011	44746.8	40426.81	8250.37	44746.8	2
04/27/2011	     56220	6	13780	1	05/09/2011	159733.14	148231.37	30251.3	159733.14	2
04/27/2011	     56221	1	13430	1	05/02/2011	53994	44451.12	5247.07	53994	2
04/27/2011	     56222	1	15650	1	04/28/2011	389.19	261.5	70	389.19	2
05/19/2011	     56223	1	15961	1	05/20/2011	8396.97	8395.94	3082	8396.97	2
05/26/2011	     56224	1	12710	1	05/27/2011	8442.57	8456.67	2270.02	8442.57	2
06/02/2011	     56225	6	13302	1	06/06/2011	48295.99	43707.34	5625.14	48295.99	2
06/16/2011	     56226	6	13302	1	06/20/2011	50987.88	45563.63	5625.14	50987.88	2
06/08/2011	     56227	6	13302	1	06/13/2011	49127.03	44719.86	5625.14	49127.03	2
05/19/2011	     56228	1	13430	1	05/23/2011	195090.69	176203.76	25410.38	195090.69	2
05/16/2011	     56229	1	16055	12	05/16/2011	0	0	150	0	2
05/18/2011	     56230	1	13552	1	05/19/2011	4048.09	3921.4	695	4048.09	2
05/16/2011	     56231	1	12710	1	05/17/2011	1657	2462.63	920.01	1657	2
05/17/2011	     56232	1	11800	10	05/18/2011	2246.24	2898	200	2246.24	2
05/16/2011	     56233	1	15650	1	05/17/2011	1406.31	713.6	180	1406.31	2
05/16/2011	     56234	1	10900	1	05/17/2011	280.8	468	450	280.8	2
05/19/2011	     56235	1	16100	3	05/23/2011	8887.29	9149	740	8887.29	2
05/19/2011	     56236	1	12450	1	05/20/2011	51450.56	43336.41	8013.52	51450.56	2
05/19/2011	     56237	6	14126	1	05/23/2011	91862.72	124681.01	18811.56	91862.72	2
05/26/2011	     56238	6	14126	1	05/31/2011	55587.31	130690.65	18411.4	55587.31	1
05/19/2011	     56239	6	16114	1	05/23/2011	1567.02	21400	4000	1567.02	2
05/16/2011	     56240	1	11245	1	05/17/2011	1456	1528.8	420	1456	2
05/20/2011	     56241	1	12067	1	05/20/2011	17586.27	17112.88	5717.5	17586.27	2
05/17/2011	     56242	1	16070	4	05/17/2011	960	960	50	960	2
05/17/2011	     56243	1	12710	1	05/18/2011	68.99	101.7	30	68.99	2
05/19/2011	     56244	1	13302	1	05/23/2011	7310.31	10454.84	2566.05	7310.31	2
05/17/2011	     56245	1	13780	1	05/18/2011	29845.43	27546.99	6150.45	29845.43	2
05/17/2011	     56246	1	16055	12	05/17/2011	0	0	100	0	2
05/17/2011	     56247	1	13302	1	05/18/2011	1763.92	1668.58	82	1763.92	2
05/17/2011	     56248	1	15950	1	05/18/2011	1147.56	1095	300	1147.56	2
05/24/2011	     56249	6	13780	1	05/25/2011	29679.97	29074.18	6800.39	29679.97	1
05/26/2011	     56250	6	13780	1	05/31/2011	96958.68	87934.73	20226.09	96958.68	2
05/18/2011	     56251	1	14126	1	05/19/2011	2459.14	3272.5	550	2459.14	2
05/25/2011	     56252	1	11750	1	05/26/2011	10267.48	11372.22	2180.01	10267.48	2
05/18/2011	     56253	1	12710	1	05/19/2011	2407.18	2551.33	956.01	2407.18	2
06/01/2011	     56255	1	52021	5	06/03/2011	0	944.79	7	0	0
05/25/2011	     56256	6	12450	1	05/26/2011	142129.61	136896.73	18375.4	142129.61	2
05/25/2011	     56257	6	12450	1	05/26/2011	92444.07	89402.24	12000.3	92444.07	2
05/18/2011	     56258	1	16055	12	05/18/2011	0	0	80	0	0
05/19/2011	     56259	1	16070	4	05/20/2011	288	288	15	288	2
05/19/2011	     56260	1	12855	1	05/20/2011	157.22	210.01	300.01	157.22	2
05/19/2011	     56261	1	16055	12	05/20/2011	0	0	20	0	2
05/26/2011	     56262	1	13430	1	05/31/2011	68274.49	62956.84	9410.54	68274.49	2
05/20/2011	     56263	6	13780	1	05/23/2011	65306.12	61213.04	14075.7	65306.12	1
05/20/2011	     56264	1	12067	1	05/24/2011	18801.93	18634.38	5907.5	18801.93	2
06/02/2011	     56266	6	12450	1	06/06/2011	136684.18	142273.29	17065.18	136684.18	2
06/03/2011	     56267	1	12450	1	06/06/2011	33562.18	31987.95	6232.33	33562.18	2
06/02/2011	     56268	1	12450	1	06/06/2011	65947.88	57651.15	10235.25	65947.88	2
06/08/2011	     56270	6	12450	1	06/13/2011	155050.55	153522.36	18049.48	155050.55	2
06/09/2011	     56271	1	12450	1	06/13/2011	26774.78	27423.16	5114.25	26774.78	2
06/09/2011	     56272	1	12450	1	06/13/2011	63994.14	53857.69	10255.33	63994.14	2
06/16/2011	     56274	6	12450	1	06/20/2011	0	148814.9	17179.87	128503.35	2
06/17/2011	     56275	1	12450	1	06/20/2011	34595.52	38816.09	7031.24	34595.52	2
