CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
3487	1.9	2.5	25.46	33.5		1	1	13.4	PC	25.46	602155	0	2.5	LB	 66387-1-01	PORK, BUTT BNLS			13.4	2	14	2.5	1.9	13.4	1	03/21/2011
3487	3.35	4.2	64.99	81.48		2	1	19.4	PC	64.99	602155	0	4.2	LB	 42256-1-01	BRISKET, FIRST CUT 7/CS CH			19.4	2	6	4.2	3.35	19.4	1	03/21/2011
3487	15.6356	19.7	145.41	183.21		3	1	9.3	BX	145.41	602155	0	19.7	LB	 34953-1-01	FILET, 15-OZ BI CH WILDFIRE			9.3	1	9.38	19.7	15.6356	9.3	1	03/21/2011
3487	8	10.85	204.64	277.54		4	1	25.58	BX	204.64	602155	0	10.85	LB	 16818-1-01	STRIPSTK, 14-OZ BNLS VN 1 SIDE			25.58	3	26.25	10.85	8	25.58	3	03/21/2011
3487	8.7207	11.5	109.18	143.98		5	1	12.52	BX	109.18	602155	0	11.5	LB	 35712-1-01	BEEF, RIB CHOP 18/20 OZ BI CH			12.52	1	11.25	11.5	8.7207	12.52	1	03/21/2011
3487	6.8833	9.95	94.85	137.11		6	1	13.78	BX	94.85	602155	0	9.95	LB	 36058-1-01	BEEF, P-HOUSE 22-OZ 1" CH			13.78	1	13.75	9.95	6.8833	13.78	1	03/21/2011
3487	2.52	2.69	35.28	37.66		7	1	14	BX	35.28	602155	0	2.69	LB	 43692-1-01	GROUND BEEF, PATTY 4-OZ 80/20			14	1	14	2.69	2.52	14	1	03/21/2011
3487	2.52	2.69	80.64	86.08		8	1	32	BX	80.64	602155	0	2.69	LB	 43695-1-01	GROUND BEEF, PATTY 8-OZ 80/20			32	2	32	2.69	2.52	32	2	03/21/2011
3487	3.34	3.9	50.1	58.5		9	1	15	BX	50.1	602155	0	3.9	LB	 66465-1-01	BACON, 14/17 15# BOX FROZEN			15	1	15	3.9	3.34	15	1	03/21/2011
3487	10.0677	11.2	87.99	97.89		10	1	8.74	BX	87.99	602155	0	11.2	LB	 35959-1-01	BEEF, SKIRT STEAK 14-OZ CC			8.74	1	8.75	11.2	10.0677	8.74	1	03/21/2011
3487	4.55	8.45	44.23	82.13		11	1	9.72	BX	44.23	602155	0	8.45	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			9.72	1	10	8.45	4.55	9.72	1	03/21/2011
3487	12.0622	13.9	136.54	157.35		12	1	11.32	BX	136.54	602155	0	13.9	LB	 55256-1-01	LAMB, P-HOUSE 6-OZ NT CH			11.32	2	11.2	13.9	12.0622	11.32	2	03/21/2011
3487	7.5	10.5	76.65	107.31		13	1	10.22	BX	76.65	602155	0	10.5	LB	 34323-1-01	STRIPSTK, 8-OZ CC BNLS 1" CH			10.22	1	10	10.5	7.5	10.22	1	03/21/2011
3487	2.55	2.75	59.16	63.8		14	1	23.2	PC	59.16	602155	0	2.75	LB	 66634-1-01	PORK, LOIN BNLS LIP OFF			23.2	3	15	2.75	2.55	23.2	1	03/21/2011
