PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
     92152	  1368-1-06	0	60	BX 	LB 	03/21/2011	9.2975	3488.37	3807.8	60	60	3488.37	3807.8	35403.02	                              	                              	                              	                              
     92152	  1444-1-06	0	50	BX 	LB 	03/21/2011	8.7475	3012.05	3626.2	50	50	3012.05	3626.2	31720.18	                              	                              	                              	                              
     92152	  1168-1-06	0	40	BX 	LB 	03/21/2011	7.7475	2816.9	3013.7	40	40	2816.9	3013.7	23348.64	                              	                              	                              	                              
     92152	  2009-1-06	0	85	BX 	LB 	03/21/2011	8.2775	6035.22	6596.9	85	85	6035.22	6596.9	54605.84	                              	                              	                              	                              
     92152	  1634-1-06	0	25	BX 	LB 	03/21/2011	8.7175	1875.05	1934.3	25	25	1875.05	1934.3	16862.26	                              	                              	                              	                              
     92181	  2323-1-01	0	48	BX 	LB 	03/21/2011	4.1075	2544.12	3291.3	48	48	2544.12	3291.3	13519.01	                              	                              	                              	                              
     92181	  4359-1-01	0	40	BX 	LB 	03/21/2011	3.8175	2000	2983.7	41	40	2000	2983.7	11390.27	                              	                              	                              	                              
     92181	  1911-1-01	0	12	BX 	LB 	03/21/2011	4.1075	780.23	851	12	12	780.23	851	3495.48	                              	                              	                              	                              
     92181	  7314-1-01	0	15	BX 	LB 	03/21/2011	3.8175	975.04	1054.7	14	15	975.04	1054.7	4026.32	                              	                              	                              	                              
     92181	  1769-1-01	0	5	BX 	LB 	03/21/2011	3.1375	300.01	296.6	5	5	300.01	296.6	930.58	                              	                              	                              	                              
     92181	  2321-1-01	0	20	BX 	LB 	03/21/2011	6.0375	1000	1068.9	20	20	1000	1068.9	6453.48	                              	                              	                              	                              
     92181	  4307-1-01	0	5	BX 	LB 	03/21/2011	3.1775	350.14	424	5	5	350.14	424	1347.26	                              	                              	                              	                              
     92181	  1603-1-01	0	20	BX 	LB 	03/21/2011	8.8975	1500.04	1677.3	20	20	1500.04	1677.3	14923.78	                              	                              	                              	                              
     92181	  1632-1-01	0	14	BX 	LB 	03/21/2011	9.1675	1050.03	1103	14	14	1050.03	1103	10111.75	                              	                              	                              	                              
     92181	  1369-1-01	0	10	BX 	LB 	03/21/2011	5.4275	690.04	601.8	10	10	690.04	601.8	3266.27	                              	                              	                              	                              
     92181	  1138-1-01	0	4	BX 	LB 	03/21/2011	5.7075	300.01	330.3	4	4	300.01	330.3	1885.19	                              	                              	                              	                              
     92181	  1604-1-01	0	2	BX 	LB 	03/21/2011	4.9975	144.01	171	2	2	144.01	171	854.57	                              	                              	                              	                              
     92194	  1374-1-01	0	7	BX 	LB 	03/21/2011	5.3475	406.01	364.5	6	7	406.01	364.5	1949.16	                              	                              	                              	                              
