Date	PO_Number	WarehouseCode	VendorCode	TermsCode	RequiredDate	AmountInvoiced	EstimatedTotalOrder	EstimatedTotalWeight	TotalOrderReceived	Status
03/21/2011	     92152	6	12450	1	03/21/2011	250466.89	229563.8	24448.08	250466.89	2
03/21/2011	     92181	1	12450	1	03/21/2011	72203.96	62253.28	11633.67	72203.96	2
03/17/2011	     92194	1	12450	1	03/21/2011	45205.48	37659.87	6663.15	45205.48	2
03/17/2011	     93124	6	16007	1	03/21/2011	173430.45	226799.29	34465.48	173430.45	2
03/17/2011	     93191	6	14126	1	03/21/2011	75936.35	171265.86	22338.67	75936.35	1
03/17/2011	     93206	6	13780	1	03/21/2011	32159.27	28381.29	6600.3	32159.27	2
03/17/2011	     93211	2	14126	1	03/21/2011	9347.55	12978.5	1258.15	9347.55	2
03/17/2011	     93212	1	13430	1	03/21/2011	83241.37	79141.54	10910.33	83241.37	2
03/17/2011	     93236	6	14126	1	03/21/2011	48343.41	96189.21	11250.2	48343.41	2
03/17/2011	     93237	1	16100	3	03/21/2011	8003	8251.25	575	8003	2
03/18/2011	     93238	1	12450	1	03/21/2011	5194.98	4402.05	2175	5194.98	2
03/17/2011	     93245	6	12450	1	03/21/2011	132813.14	128252.57	15000.3	132813.14	2
03/17/2011	     93247	6	15961	1	03/21/2011	34756.88	29226.5	3500.18	34756.88	2
03/17/2011	     93249	6	15961	1	03/21/2011	30876.11	29016.49	3500.18	30876.11	2
03/17/2011	     93253	1	13302	1	03/21/2011	4019.73	6566.18	1686.05	4019.73	2
03/17/2011	     93264	1	12710	1	03/21/2011	1584	1668.63	620.01	1584	1
03/17/2011	     93266	1	11750	1	03/21/2011	3038.96	1710	600	3038.96	2
03/18/2011	     93271	1	16085	1	03/21/2011	3039.13	2227.2	512	3039.13	2
03/18/2011	     93280	1	15650	1	03/21/2011	1000.64	367	110	1000.64	2
03/21/2011	     93281	1	12710	1	03/21/2011	145.94	169.2	40	145.94	2
03/21/2011	     93285	1	16055	12	03/21/2011	0	0	102	0	2
03/15/2011	     93447	1	12452	4	03/21/2011	4947.93	2420	200	4947.93	2
03/17/2011	     93457	1	15200	1	03/21/2011	11661.88	12303.31	796.02	11661.88	2
03/18/2011	     93467	1	16126	1	03/21/2011	99	69.3	21	99	2
03/18/2011	     93468	1	12110	1	03/21/2011	4685.01	5040	600	4685.01	2
03/21/2011	     93470	1	16126	1	03/21/2011	1253	1253	410	1253	2
03/17/2011	     93785	6	13780	1	03/21/2011	58490.25	53627.34	13750.6	58490.25	2
03/17/2011	M93241    	5	12450	1	03/21/2011	64997.59	58779.05	6820.19	64997.59	2
03/17/2011	M93663    	1	13430	1	03/21/2011	71076.82	75538.84	8752.86	71076.82	2
