VendorCode	Name	Address1	Address2	City	State	Zipcode	Phone	Purchases_YTD
1	STOCK YARDS PACKING COMPANY	**BAR CODING ONLY**	PO BOX 12450	CHICAO	IL	60612-2450	800-621-1119	0
2	STOCKYARDS BELT LABEL	**BAR CODING ONLY**						0
3	STOCKYARDS FIXED WEIGHT LABEL	**BAR CODING ONLY**						0
4	STOCKYARDS RETAIL LABEL	**BAR CODING ONLY**						0
5	STOCKYARDS 47 CHAR LABEL	**BAR CODING ONLY**						0
6	Stock Yards 45 Char label	**BAR CODING ONLY**						0
7	STOCK YARDS 42 CHAR LABEL	**BAR CODING ONLY**						0
8	STOCK YARDS 41 CHAR LABEL	**BAR CODING ONLY**						0
9	STOCKYARDS 43 CHAR LABEL	**BAR CODING ONLY**						0
10	STOCK YARDS 48 CHAR BARCODE	**BAR CODING ONLY**						0
723	"ON HOLD" DO NOT USE	P.O. BOX 65458		CHARLOTTE	NC	28265-0458	757 357-3131	0
10100	 "ON HOLD" DO NOT USE 	318 E. AIRY ST.		NORRISTOWN	PA	19401	610-275-3437	0
10101	"ON HOLD" DO NOT USE	50 ROSLYN ROAD		MINEOLA	NY	11501	516-746-6900	0
10102	 "ON HOLD" DO NOT USE 	7425 NEW UTRECHT AVE.		BROOKLYN	NY	11204	718-236-9615	0
10103	 "ON HOLD" DO NOT USE 	415 W. GOLF RD. STE.14		ARLINGTON HTS.	IL	60005	847-228-5100	0
10104	"ON HOLD" DO NOT USE	3101 S. 24TH ST.		OMAHA,	NE	68108	402 341-8720	0
10105	 "ON HOLD" DO NOT USE 	233 Water Street		NEW YORK	NY	10038	212-349-5730	0
10106	"ON HOLD" DO NOT USE	Department A	P.O.Box 88265	CHICAGO,	IL	60680-1265	773 538-7000	0
10107	"ON HOLD" DO NOT USE	1555 SHORELINE DR.	P.O.BOX 6640	BOISE	ID	83707	208-338-2500	0
10108	"ON HOLD" DO NOT USE	166 COMMERCE RD		DUPONT	PA	18640-9585		0
10148	 "ON HOLD" DO NOT USE 	1117 W. GRAND AV		CHICAGO	IL	60622	312-243-2662	0
10149	"ON HOLD" DO NOT USE	135 S. LASALLE,DEPT 2165		CHICAGO	IL	60674-2165	920-437-6330	0
10150	APPETIZERS AND, INC	P.O. BOX 97206		CHICAGO,	IL	60678	800-323-5472	0
10151	ALLEN BROTHERS	3737 SOUTH HALSTED STREET		CHICAGO	IL	60609-1689	773-890-5100	0
10152	"ON HOLD" DO NOT USE	4712 SW. 74TH. AVE.		MIAMI	FL	33155	305-265-9994	0
10153	ALLAVOIX SMOKED SEAFOOD CO.	8121 OGDEN AVENUE		LYONS	IL	60534	708-442-8800	0
10154	ARMOUR SPECIALTY MARKETING	PO BOX 73517	 	CHICAGO	IL	60673-7517	972-660-9980	0
10155	AQUA STAR	2025 1ST. AVE.	SUITE 200	SEATTLE	WA	98121	206-448-5400	0
10156	"ON HOLD" DO NOT USE	BOX 660088		INDIANAPOLIS	IN	46266-0088	317-585-6600	0
10158	"ON HOLD" DO NOT USE	BOX 99021		CHICAGO	IL	60693-9021	262-251-9600	0
10205	ASPEN FOODS INC	DEPT. 77-3141		CHICAGO,	IL	60678-3141	847-384-5940	0
10225	"ON HOLD" DO NOT USE	ATLANTIC VEAL & LAMB INC.	275 MORGAN AVE.	BROOKLYN	NY	11211	718-599-6400	0
10228	 "ON HOLD" DO NOT USE 	16 HUNTS POINT MARKET	BUILDING C	BRONX	NY	10474	1	0
10229	"ON HOLD" DO NOT USE	2350 EAST 48TH ST		VERNON,	CA	90058	213 583-0801	0
10230	BADGER/MURPHY INC.	700 N. WESTERN AVE	PO BOX 12440	CHICAGO,	IL	60612	773 276-7200	0
10231	COLEMAN NATURAL PRODUCTS, INC	DEPT 1138		DENVER	CO	80256-1138	800-442-8666	0
10235	 "ON HOLD" DO NOT USE 	P.O. BOX 724		SPRINGHOUSE	PA	19477	215-646-9774	0
10250	"ON HOLD" DO NOT USE	935 W RANDOLPH ST.		CHICAGO,	IL	60607	312 829-7762	0
10251	STOCK YARDS OF SEATTLE (K&N)	P.O. BOX 897		RENTON	WA	98057-0897	425-226-7300	0
10252	HEINZ NORTH AMERICA	A DIVISION OF H.J. HEINZ COMPA	DEPT CH 10388	PALATINE	IL	60055	412-234-5852	0
