Date	PO_Number	WarehouseCode	VendorCode	TermsCode	RequiredDate	AmountInvoiced	EstimatedTotalOrder	EstimatedTotalWeight	TotalOrderReceived	Status
09/09/2005	         2	1	63170	12	09/12/2005	0	71429.68	10588.63	0	2
01/31/2007	         3	1	63255	1	00/00/0000	0	0	0	0	0
03/10/2005	         4	1	63170	0	03/10/2005	0	39094.72	5625.14	37963.68	2
07/21/2008	         5	1	15150	1	00/00/0000	0	0	0	0	0
10/30/2007	         6	1	10600	1	00/00/0000	0	0	0	0	0
10/26/2009	        10	1	11750	1	00/00/0000	0	0	0	0	0
06/19/2008	        12	1	11812	1	00/00/0000	0	0	0	0	0
07/28/2009	        20	1	12068	1	00/00/0000	0	0	0	0	0
07/18/2006	        23	1	63170	12	00/00/0000	0	0	0	0	0
07/18/2007	        35	1	15739	2	00/00/0000	0	0	0	0	0
06/06/2008	        50	1	16082	1	00/00/0000	0	0	0	0	0
11/19/2007	        87	6	12450	1	00/00/0000	0	0	0	0	0
12/05/2007	       122	1	63170	12	00/00/0000	0	0	0	0	0
02/03/2005	       888	1	1	1	00/00/0000	0	111.6	60	110.67	2
01/17/2005	       995	1	11750	1	00/00/0000	0	103.2	60	102	2
01/17/2005	       997	1	11750	1	00/00/0000	0	103.2	60	102	2
01/17/2005	       999	1	11750	1	00/00/0000	0	103.2	60	102	2
09/28/2010	      1038	1	13430	1	00/00/0000	0	0	0	0	0
07/17/2003	      1211	2	1	1	00/00/0000	0	0	0	0	0
10/07/2009	      1232	1	62966	5	00/00/0000	0	221	5	0	0
10/23/2006	      1246	1	63170	12	00/00/0000	0	0	0	0	0
05/04/2005	      1312	1	13552	1	05/05/2005	1254	1254	280	1254	2
10/28/2005	      1368	1	63170	12	10/31/2005	0	25639.52	3488.37	0	2
12/14/2005	      1604	1	16065	1	00/00/0000	0	0	0	0	0
11/10/2006	      1703	6	16025	1	11/17/2006	0	42218.75	8325	0	0
12/10/2007	      1911	6	12450	1	00/00/0000	0	0	0	0	0
01/18/2007	      2261	1	63170	12	00/00/0000	0	0	0	0	0
01/19/2009	      2318	1	13250	1	00/00/0000	0	0	0	0	0
09/04/2007	      4201	1	10600	1	09/05/2007	0	1071	84	0	0
09/28/2010	      4203	1	15150	1	00/00/0000	0	0	0	0	0
09/06/2007	      4208	1	12110	1	09/07/2007	0	1026.25	401	0	0
08/07/2006	      4318	1	12710	1	08/08/2006	0	387.5	250	0	0
01/22/2008	      5509	1	15150	1	00/00/0000	0	3748.45	457	0	0
09/07/2005	      5551	1	12452	1	09/08/2005	0	48672.73	4680.07	0	2
11/23/2009	      6405	1	12710	1	11/24/2009	0	2490.03	1500.02	0	0
03/08/2007	      7157	1	10615	1	03/09/2007	0	3437.5	1250	0	0
10/28/2005	      7353	1	12802	5	00/00/0000	0	0	0	0	0
09/17/2008	      8078	1	11060	1	09/18/2008	0	34.7	10	0	0
12/24/2009	      8415	1	12855	1	12/28/2009	0	208.02	130.01	0	0
06/30/2009	      8465	1	63131	5	06/22/2009	0	288.47	6	0	0
09/30/2009	      8879	1	12110	1	10/01/2009	0	2513.25	357	0	0
02/16/2010	      9070	1	62605	5	02/17/2010	0	1400.06	8	0	0
11/19/2007	     10615	1	1	1	00/00/0000	0	0	0	0	0
12/20/2010	     10930	1	1	1	12/21/2010	0	304.8	3	0	0
12/20/2006	     11026	1	11026	1	12/20/2006	0	105	20	0	0
02/04/2008	     11750	6	6	0	02/05/2008	0	39525.95	3750.09	0	0
12/15/2005	     12029	1	1	1	12/16/2005	0	5305.6	2640	5105.4	2
01/20/2011	     12061	1	1	1	00/00/0000	0	0	0	0	0
10/25/2005	     12068	1	1	1	00/00/0000	0	0	0	0	0
09/07/2006	     12110	1	15739	2	09/08/2006	1031.25	525.45	535	0	2
04/03/2002	     12148	1	13800	1	00/00/0000	0	0	0	0	0
11/12/2009	     12450	6	6	12	00/00/0000	0	0	0	0	0
05/09/2002	     12559	1	56952	1	00/00/0000	0	0	0	0	0
10/30/2006	     13245	6	6	0	10/31/2006	0	52922.12	6000.24	0	0
12/10/2007	     13302	1	1	1	12/11/2007	0	21478.3	1745	0	0
07/22/2002	     13340	1	13800	1	00/00/0000	0	0	0	0	0
12/07/2007	     13430	6	6	0	12/10/2007	0	20680.94	4400.2	0	0
08/03/2002	     13470	1	1	1	00/00/0000	0	0	0	0	0
11/23/2007	     13780	6	6	0	11/26/2007	0	80168.5	7755.43	0	0
09/18/2002	     13957	3	11710	1	09/19/2002	0	14169070.6	1216	0	0
09/27/2002	     14062	3	11710	1	00/00/0000	0	0	0	0	0
10/09/2002	     14202	3	3	0	00/00/0000	0	0	0	0	0
10/11/2002	     14256	2	12882	1	00/00/0000	0	0	0	0	0
10/11/2002	     14264	3	11704	1	10/14/2002	0	0	0	0	0
10/21/2002	     14376	1	1	1	00/00/0000	0	0	0	0	0
09/11/2006	     14560	1	14560	2	09/12/2006	5336.63	4612.5	675	5336.63	2
11/06/2002	     14562	3	15125	3	11/08/2002	0	0	0	0	0
11/25/2002	     14781	3	3	0	00/00/0000	0	0	0	0	0
12/03/2002	     14861	1	57003	5	00/00/0000	0	0	0	0	0
12/19/2002	     15074	3	14260	1	00/00/0000	0	0	0	0	0
12/19/2002	     15081	3	52453	5	00/00/0000	0	0	0	0	0
12/20/2002	     15095	3	1	1	12/23/2002	0	0	0	0	0
12/20/2002	     15097	3	1	1	12/23/2002	0	0	0	0	0
01/13/2003	     15326	3	4	0	00/00/0000	0	0	0	0	0
01/17/2003	     15399	3	3	0	00/00/0000	0	0	0	0	0
04/12/2006	     15739	1	1	1	04/14/2006	0	1848	1100	1696.8	2
02/25/2003	     15845	3	14260	1	00/00/0000	0	0	0	0	0
03/04/2003	     15933	3	3	0	00/00/0000	0	0	0	0	0
03/04/2003	     15948	3	14260	1	03/05/2003	0	10097.1	585	0	0
10/13/2006	     15950	1	15950	1	10/16/2006	0	4020.03	1200.01	0	0
04/27/2007	     16007	6	6	0	00/00/0000	0	0	0	0	0
04/11/2003	     16441	3	3	0	00/00/0000	0	0	0	0	0
04/14/2003	     16460	3	50500	2	00/00/0000	0	0	0	0	0
05/09/2003	     16805	3	10314	1	05/15/2003	0	1760	800	0	0
05/14/2003	     16862	3	1	1	05/15/2003	0	0	0	0	0
05/20/2003	     16957	3	10353	1	05/21/2003	0	0	0	0	0
05/22/2003	     16989	3	3	0	00/00/0000	0	0	0	0	0
06/03/2003	     17125	3	50500	2	06/04/2003	0	0	0	0	0
06/06/2003	     17171	3	11710	5	00/00/0000	0	0	0	0	0
06/10/2003	     17194	3	10410	1	00/00/0000	0	0	0	0	0
06/13/2003	     17205	3	1	1	00/00/0000	0	0	0	0	0
06/24/2003	     17258	3	1	1	00/00/0000	0	0	0	0	0
07/17/2003	     17373	3	11710	2	00/00/0000	0	0	0	0	0
10/23/2003	     17786	3	11710	3	00/00/0000	0	0	0	0	0
12/08/2003	     17945	3	14260	1	00/00/0000	0	0	0	0	0
12/12/2003	     17966	3	13559	1	00/00/0000	0	0	0	0	0
12/22/2003	     17993	3	10355	1	00/00/0000	0	0	0	0	0
11/09/2004	     18951	4	15150	1	00/00/0000	0	0	0	0	0
12/03/2004	     18994	1	62605	15	12/03/2004	0	89.91	1	89.91	2
12/02/2004	     19023	1	62919	5	12/03/2004	500	500	1	500	2
12/03/2004	     19024	1	62850	5	12/06/2004	163.99	163.99	10	163.99	2
12/03/2004	     19026	1	58900	2	12/06/2004	0	500.5	18	500.5	2
12/04/2004	     19027	3	1	1	12/06/2004	0	35322.65	4639.5	26678.5	2
12/06/2004	     19030	5	62880	10	12/06/2004	0	4226.4	720	4226.4	2
12/06/2004	     19031	1	56758	5	12/07/2004	0	1814.69	173	1814.69	2
12/06/2004	     19032	1	61757	10	12/07/2004	0	1007.6	1100	1007.6	2
12/06/2004	     19033	1	59272	5	12/08/2004	0	3398.85	6450	3398.85	2
12/06/2004	     19035	1	62880	10	12/07/2004	0	5419.44	1404	5419.44	2
12/07/2004	     19038	1	53749	5	12/08/2004	0	774.94	11	774.94	2
12/07/2004	     19040	1	63112	12	00/00/0000	880.47	880.47	66.2	880.47	2
12/07/2004	     19041	1	59800	5	12/13/2004	867	867	81	867	2
12/07/2004	     19042	1	56676	5	12/09/2004	968.75	968.75	25	968.75	2
12/08/2004	     19044	1	62880	10	12/09/2004	12399.84	12399.84	2832	12399.84	2
