PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
         2	  1368-1-01	0	60	BX 	LB 	09/09/2005	9.18	3488.37	0	0	60	3488.37	0	0	                              	                              	                              	                              
         2	     0-0-00	1	0	   	   	00/00/0000	0	0	0	0	0	0	0	0	LOT 100                       	                              	                              	             
         2	  2009-1-01	0	100	BX 	LB 	09/09/2005	5.55	7100.26	0	0	100	7100.26	0	0	                              	                              	                              	                              
         2	     0-0-00	1	0	   	   	00/00/0000	0	0	0	0	0	0	0	0	LOT 188                       	                              	                              	             
         4	  1634-1-01	0	75	BX 	LB 	03/10/2005	6.95	5625.14	5462.4	75	75	5625.14	5462.4	0	                              	                              	                              	                              
       888	  2304-1-01	0	1	BX 	LB 	02/03/2005	1.86	60	59.5	1	1	60	59.5	0	                              	                              	                              	                              
       995	  2304-1-01	0	1	BX 	LB 	01/17/2005	1.72	60	59.3	1	1	60	59.3	0	                              	                              	                              	                              
       997	  2304-1-01	0	1	BX 	LB 	01/17/2005	1.72	60	59.3	1	1	60	59.3	0	                              	                              	                              	                              
       999	  2304-1-01	0	1	BX 	LB 	01/17/2005	1.72	60	59.3	1	1	60	59.3	0	                              	                              	                              	                              
      1232	   178-1-01	0	5	EA 	EA 	00/00/0000	44.2	5	0	0	5	5	0	0	                              	                              	                              	                              
      1312	  1312-1-01	0	20	BX 	LB 	05/05/2005	4.45	200	200	20	20	200	200	890	                              	                              	                              	                              
      1312	  1313-1-01	0	8	BX 	LB 	05/05/2005	4.55	80	80	8	8	80	80	364	                              	                              	                              	                              
      1368	  1368-1-01	0	60	BX 	LB 	11/08/2005	7.35	3488.37	0	0	60	3488.37	0	0	                              	                              	                              	                              
      1368	     0-0-00	1	0	   	   	00/00/0000	0	0	0	0	0	0	0	0	lot 5                         	                              	                              	           
      1703	  1703-1-06	0	100	BX 	LB 	00/00/0000	3.25	1200	0	0	100	1200	0	0	                              	                              	                              	                              
      1703	  4317-1-06	0	250	BX 	LB 	00/00/0000	3.45	2500	0	0	250	2500	0	0	                              	                              	                              	                              
