OrderNumber	OrderDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	InvoiceDate	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate
602155	03/21/2011	92	Posted To General Ledger	3487	29	17	101		JS	1891.73	1250 E HIGGINS RD		SCHAUMBURG 	WILDFIRE - SCHAUMBURG	IL	60173	1250 E HIGGINS RD		SCHAUMBURG	WILDFIRE - SCHAUMBURG	IL	60173	320.58	40	0	03/21/2011	1	1891.73	03/21/2011	1891.73	20th EOM	03/21/2011
602156	03/21/2011	92	Posted To General Ledger	955	29	9	101		JS	1920.17	232 OAKBROOK CENTER		OAKBROOK	WILDFIRE - OAKBROOK	IL	60523	232 OAK BROOK CENTER	43	OAK BROOK	WILDFIRE - OAK BROOK	IL	60523	183.68	40	0	03/21/2011	1	1920.17	03/21/2011	1920.17	20th EOM	03/21/2011
602157	03/21/2011	92	Posted To General Ledger	938	29	27	101		DB	642.65	159 W. ERIE STREET		CHICAGO	WILDFIRE - CHICAGO	IL	60610	159 W. ERIE STREET		CHICAGO	WILDFIRE - CHICAGO	IL	60610	179.12	40	0	03/21/2011	1	642.65	03/21/2011	642.65	20th EOM	03/21/2011
602158	03/21/2011	92	Posted To General Ledger	71	29	27	101		JS	4496.43	235 PARKWAY DR.		LINCOLNSHIRE	WILDFIRE - LINCOLN	IL	60069	235 PARKWAY DR.		LINCOLNSHIRE	WILDFIRE - LINCOLN	IL	60069	650.6	40	0	03/21/2011	1	4496.43	03/21/2011	4496.43	20th EOM	03/21/2011
602159	03/21/2011	92	Posted To General Ledger	3691	29	37	101		DB	1313.06	1300 PATRIOT BLVD		GLENVIEW 	WILDFIRE - GLENVIEW	IL	60026	1300 PATRIOT BLVD		GLENVIEW	WILDFIRE - GLENVIEW	IL	60026	217.48	40	0	03/21/2011	1	1313.06	03/21/2011	1313.06	20th EOM	03/21/2011
602160	03/21/2011	92	Posted To General Ledger	930	29	38	101		DB	1383.29	21 E. HUBBARD ST.	                              	CHICAGO	SHAWS CRAB HOUSE - CHICAGO 	IL	60611	21 E. HUBBARD ST.	        	CHICAGO	SHAWS CRAB HOUSE - CHICAGO 	IL	60611	86.84	40	0	03/21/2011	1	1383.29	03/21/2011	1383.29	20th EOM	03/21/2011
602161	03/21/2011	92	Posted To General Ledger	4011	7	17	401		DB	873.05	906 BOARDWALK CT		PALATINE	UNITED WHOLESALE SUPPLY	IL	60067	906 BOARDWALK CT		PALATINE	UNITED WHOLESALE SUPPLY	IL	60067	185.98	0	0	03/23/2011	1	873.05	03/21/2011	873.05	COD - Check	03/21/2011
602162	03/21/2011	92	Posted To General Ledger	1305	19	17	101		JS	1601.26	100 EAST ONTARIO		CHICAGO	LAWRYS	IL	60611	100 EAST ONTARIO		CHICAGO	LAWRY'S - CHICAGO	IL	60611	292.2	40	0	03/21/2011	1	1601.26	03/21/2011	1601.26	10th EOM	03/21/2011
602163	03/21/2011	92	Posted To General Ledger	1822	9	17	101		JS	944.22	700 E. GRAND	 	CHICAGO	RIVA	IL	60611	C/O STEFANI MANAGEMENT SERVICE	1033 W VAN BUREN ST FL 5	CHICAGO	RIVA RESTAURANT - CHICAGO	IL	60607	105.5	40	0	03/21/2011	1	944.22	03/21/2011	944.22	Net 30 Days	03/21/2011
602164	03/21/2011	92	Posted To General Ledger	67	4	27	101		JS	562.43	745 N RUSH		CHICAGO	RALPH LAUREN	IL	60611	115 E CHICAGO		CHICAGO	RALPH LAUREN	IL	60611	88.36	40	0	03/21/2011	1	562.43	03/21/2011	562.43	Net 30 Days	03/21/2011
