DateOpened	LotNumber	DCTransactionNumber	ProductCode	Available_Alt	PricingUM	AlternateUM	Cost	Available_Prc	PalletID
03/21/2011	0000554014	11839646	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554015	11839647	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554016	11839648	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554017	11839649	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554018	11839650	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554019	11839663	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554020	11839664	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554021	11839665	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554022	11839666	  1038-1-01	0	LB	BX	5.55	0	
03/21/2011	0000554023	11839667	  1038-1-01	0	LB	BX	5.55	0	
03/23/2011	0000554416	11845294	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554417	11845295	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554418	11845296	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554419	11845297	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554420	11845298	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554421	11845299	  1038-1-01	1	LB	BX	4.75	47.8	
03/23/2011	0000554422	11845300	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554423	11845301	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554424	11845302	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554425	11845303	  1038-1-01	0	LB	BX	4.75	0	
03/23/2011	0000554426	11845304	  1038-1-01	0	LB	BX	4.75	0	
03/24/2011	0000554775	11850439	  1038-1-01	0	LB	BX	4.75	0	
03/24/2011	0000554776	11850441	  1038-1-01	0	LB	BX	4.75	0	
03/24/2011	0000554777	11850442	  1038-1-01	0	LB	BX	4.75	0	
03/24/2011	0000554778	11850443	  1038-1-01	0	LB	BX	4.75	0	
03/25/2011	0000554975	11853663	  1038-1-01	1	LB	BX	4.75	38.8	
03/25/2011	0000554976	11853664	  1038-1-01	1	LB	BX	4.75	37	
