LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType
201103280430	03/28/2011	03/28/2011	3596	  1041-1-01	21482541  	5.3	1	61.8	11853689	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3597	  1041-1-01	21489001  	5.3	1	65.5	11853690	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3598	  1041-1-01	21523182  	5.3	1	57.7	11853691	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3599	  1041-1-01	21523242  	5.3	1	62.4	11853692	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3600	  1041-1-01	21523268  	5.3	1	63	11853693	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3601	  1041-1-01	22723274  	5.3	1	62.6	11853694	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3602	  1041-1-01	22723291  	5.3	1	62.8	11853695	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3603	  1041-1-01	22744501  	5.3	1	57.3	11853696	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3604	  1041-1-01	23760405  	5.3	1	65.9	11853697	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3605	  1041-1-01	23760454  	5.3	1	60.7	11853698	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3606	  1041-1-01	23760517  	5.3	1	59.9	11853699	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3607	  1041-1-01	23760737  	5.3	1	58.7	11853700	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3608	  1041-1-01	23760776  	5.3	1	63.3	11853701	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3609	  1041-1-01	23760942  	5.3	1	62.6	11853702	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3610	  1041-1-01	23784978  	5.3	1	66	11853703	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3611	  1041-1-01	23785084  	5.3	1	68.8	11853704	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3612	  1041-1-01	23792520  	5.3	1	61.8	11853705	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3613	  1041-1-01	23792523  	5.3	1	65	11853706	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3614	  1041-1-01	23792525  	5.3	1	64.3	11853707	8301	13430	00003562        	1
201103280430	03/28/2011	03/28/2011	3615	  1041-1-01	23792549  	5.3	1	59.7	11853708	8301	13430	00003562        	1
201103280433	03/28/2011	03/28/2011	3616	  4181-1-01	21530418  	2.8	1	71.5	11853709	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3617	  4181-1-01	21530444  	2.8	1	67.4	11853710	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3618	  4181-1-01	21530456  	2.8	1	68.3	11853711	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3619	  4181-1-01	21530475  	2.8	1	65.5	11853712	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3620	  4181-1-01	21530565  	2.8	1	66.7	11853713	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3621	  4181-1-01	21533892  	2.8	1	65.6	11853714	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3622	  4181-1-01	22750121  	2.8	1	67.6	11853715	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3623	  4181-1-01	22750344  	2.8	1	67.7	11853716	8301	13430	00003561        	1
201103280433	03/28/2011	03/28/2011	3624	  4181-1-01	22751255  	2.8	1	72.7	11853717	8301	13430	00003561        	1
