DateOpened	LotNumber	DCTransactionNumber	ProductCode	Available_Alt	PricingUM	AlternateUM	Cost	Available_Prc	PalletID
03/28/2011	0000555057	11856540	  1038-1-01	0	LB	BX	4.75	0	
03/30/2011	0000555331	11860825	  1038-1-01	0	LB	BX	4.75	0	
03/30/2011	0000555332	11860826	  1038-1-01	0	LB	BX	4.75	0	
03/30/2011	0000555333	11860828	  1038-1-01	0	LB	BX	4.75	0	
03/30/2011	0000555334	11860829	  1038-1-01	0	LB	BX	4.75	0	
03/30/2011	0000555335	11860830	  1038-1-01	0	LB	BX	4.75	0	
03/31/2011	0000555572	11864042	  1038-1-01	0	LB	BX	4.75	0	
03/31/2011	0000555573	11864045	  1038-1-01	0	LB	BX	4.75	0	
03/31/2011	0000555574	11864046	  1038-1-01	0	LB	BX	4.75	0	
03/31/2011	0000555575	11864047	  1038-1-01	0	LB	BX	4.75	0	
03/31/2011	0000555576	11864048	  1038-1-01	0	LB	BX	4.75	0	
03/31/2011	0000555577	11864049	  1038-1-01	0	LB	BX	4.75	0	
04/01/2011	0000555807	11866849	  1038-1-01	0	LB	BX	4.75	0	
04/01/2011	0000555808	11866850	  1038-1-01	0	LB	BX	4.75	0	
04/01/2011	0000555809	11866852	  1038-1-01	0	LB	BX	4.75	0	
04/01/2011	0000555810	11866853	  1038-1-01	0	LB	BX	4.75	0	
03/28/2011	8207092216	11854219	  1038-1-06	1	LB	BX	5.4	76.5	50031440        
03/28/2011	8207092253	11854220	  1038-1-06	1	LB	BX	5.4	80.7	50031440        
03/28/2011	8207092331	11854221	  1038-1-06	1	LB	BX	5.4	80.9	50031440        
03/28/2011	8207092359	11854222	  1038-1-06	1	LB	BX	5.4	77.6	50031440        
03/28/2011	8207092650	11854223	  1038-1-06	1	LB	BX	5.4	77.6	50031440        
03/28/2011	8207094304	11854224	  1038-1-06	1	LB	BX	5.4	76.9	50031440        
03/28/2011	0000555057	0	  1038-1-08	0	LB	BX	4.75	0	
03/30/2011	0000555331	0	  1038-1-08	0	LB	BX	4.75	0	
03/30/2011	0000555332	0	  1038-1-08	0	LB	BX	4.75	0	
03/30/2011	0000555333	0	  1038-1-08	0	LB	BX	4.75	0	
03/30/2011	0000555334	0	  1038-1-08	0	LB	BX	4.75	0	
03/30/2011	0000555335	0	  1038-1-08	0	LB	BX	4.75	0	
03/31/2011	0000555572	0	  1038-1-08	0	LB	BX	4.75	0	
03/31/2011	0000555573	0	  1038-1-08	0	LB	BX	4.75	0	
03/31/2011	0000555574	0	  1038-1-08	0	LB	BX	4.75	0	
03/31/2011	0000555575	0	  1038-1-08	0	LB	BX	4.75	0	
03/31/2011	0000555576	0	  1038-1-08	0	LB	BX	4.75	0	
03/31/2011	0000555577	0	  1038-1-08	0	LB	BX	4.75	0	
04/01/2011	0000555807	0	  1038-1-08	1	LB	BX	4.75	35	
04/01/2011	0000555808	0	  1038-1-08	1	LB	BX	4.75	53.7	
04/01/2011	0000555810	0	  1038-1-08	1	LB	BX	4.75	26	
04/01/2011	0000555809	0	  1038-1-10	1	LB	BX	4.75	42.4	
03/30/2011	16421825  	11860983	  1041-1-01	1	LB	BX	5.13	67.9	00003494        
03/30/2011	16421826  	11860984	  1041-1-01	1	LB	BX	5.13	79.9	00003494        
03/30/2011	16421827  	11860985	  1041-1-01	1	LB	BX	5.13	72.3	00003494        
03/30/2011	16421828  	11860986	  1041-1-01	1	LB	BX	5.13	77.4	00003494        
03/30/2011	16421829  	11860987	  1041-1-01	1	LB	BX	5.13	78.7	00003494        
03/30/2011	16421830  	11860988	  1041-1-01	1	LB	BX	5.13	65	00003494        
03/30/2011	16421831  	11860989	  1041-1-01	1	LB	BX	5.13	75.3	00003494        
03/30/2011	16421832  	11860990	  1041-1-01	1	LB	BX	5.13	66.5	00003494        
03/30/2011	16421833  	11860991	  1041-1-01	1	LB	BX	5.13	60.2	00003494        
03/30/2011	16421834  	11860992	  1041-1-01	1	LB	BX	5.13	57.7	00003494        
