CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3243	5	0	18629.25	33942.49		1	1	3725.85	BX	18629.25	602144	0	9.11	LB	 15558-1-01	BEEF, RIB EYE 8-OZ 1112 PR			3725.85	300	3600	9.11	5	3725.85	300	05/31/2011
3243	4	0	7328	15114		1	1	1832	BX	7328	602312	0	8.25	LB	 15552-1-01	BEEF, RIB EYE 6/7-OZ ENDCUT PR			1832	224	1848	8.25	4	1832	224	05/31/2011
3988	20.71	0	1880.694	2211.45		1	1	76.92	BX	1880.694	603982	24.45	28.75	LB	 14181-1-01	STRIPSTK, 14-OZ CC NV 1"TL BEV			76.92	9	78.75	28.75	24.45	76.92	9	05/02/2011
3988	20.3	0	2195.256	2447.69		2	1	102.2	BX	2195.256	603982	21.48	23.95	LB	 14186-1-01	STRIPSTK, 14-OZ CC NV 1" BNLS			102.2	12	105	23.95	21.48	102.2	12	05/02/2011
3988	17.12	0	1930.9428	2104.46		3	1	117.24	BX	1930.9428	603982	16.47	17.95	LB	 15534-1-01	BEEF, RIB EYE 16-OZ 1112 BNLS			117.24	12	120	17.95	16.47	117.24	12	05/02/2011
3988	18.38	0	1285.9776	1682.62		4	1	78.08	BX	1285.9776	603982	16.47	21.55	LB	 15537-1-01	BEEF, RIB EYE 14-OZ NT DRY AGE			78.08	9	78.75	21.55	16.47	78.08	9	05/02/2011
3988	19.77	0	1459.192	2027.76		5	1	79.52	BX	1459.192	603982	18.35	25.5	LB	 20106-1-01	FILET, 14-OZ 1190A FC CAB BEV			79.52	6	78.75	25.5	18.35	79.52	6	05/02/2011
3988	11.6139	0	1031.5828	1152.49		6	1	86.98	BX	1031.5828	603982	11.86	13.25	LB	 20119-1-01	BEEF,RIB EYE 12-OZ 1112 NT CAB			86.98	12	90	13.25	11.86	86.98	12	05/02/2011
3988	22.16	0	2543.677	3534.81		7	1	138.62	BX	2543.677	603982	18.35	25.5	LB	 26188-1-01	FILET, 9-OZ 1190B SK/S OFF BEV			138.62	10	135	25.5	18.35	138.62	10	05/02/2011
3988	6.69	0	93.5856	128.1		8	1	10.72	BX	93.5856	603982	8.73	11.95	LB	 35946-1-01	BEEF, OUTER SKIRT 8-OZ CC BEV			10.72	1	10	11.95	8.73	10.72	1	05/02/2011
3988	10.28	0	358.071	401.63		9	1	35.7	PC	358.071	603982	10.03	11.25	LB	 11321-1-01	BEEF,RIBEYE LIP ON BNLS BEV PR			35.7	2	29	11.25	10.03	35.7	1	05/02/2011
3988	0	0	0	0		0	2	0		0	603982	0	0		     0-0-00		** CHILLED **		0	0	0	0	0	0	0	05/02/2011
3292	8.5	0	745.45	872.62		1	1	87.7	BX	745.45	604442	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.7	10	87.5	9.95	8.5	87.7	10	05/11/2011
3292	10.4409	0	694.53	748.35		2	1	66.52	BX	694.53	604442	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.52	8	65	11.25	10.4409	66.52	8	05/11/2011
4025	8.5	0	741.2	867.64		1	1	87.2	BX	741.2	604447	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.2	10	87.5	9.95	8.5	87.2	10	05/11/2011
4025	10.4409	0	689.52	742.95		2	1	66.04	BX	689.52	604447	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.04	8	65	11.25	10.4409	66.04	8	05/11/2011
4027	8.5	0	370.6	433.82		1	1	43.6	BX	370.6	604448	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			43.6	5	43.75	9.95	8.5	43.6	5	05/11/2011
4027	10.4409	0	1296.54	1397.03		2	1	124.18	BX	1296.54	604448	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			124.18	15	121.88	11.25	10.4409	124.18	15	05/11/2011
4029	8.5	0	594.32	695.7		1	1	69.92	BX	594.32	604450	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			69.92	10	87.5	9.95	8.5	69.92	8	05/11/2011
4029	10.4409	0	693.28	747		2	1	66.4	BX	693.28	604450	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.4	8	65	11.25	10.4409	66.4	8	05/11/2011
4030	8.5	0	746.98	874.41		1	1	87.88	BX	746.98	604451	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.88	10	87.5	9.95	8.5	87.88	10	05/11/2011
4030	10.4409	0	433.08	466.65		2	1	41.48	BX	433.08	604451	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			41.48	5	40.63	11.25	10.4409	41.48	5	05/11/2011
4031	10.4409	0	343.92	370.58		2	1	32.94	BX	343.92	604452	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			32.94	4	32.5	11.25	10.4409	32.94	4	05/11/2011
4032	10.4409	0	859.71	926.33		2	1	82.34	BX	859.71	604454	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			82.34	10	81.25	11.25	10.4409	82.34	10	05/11/2011
4033	8.5	0	748.34	876		1	1	88.04	BX	748.34	604456	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			88.04	10	87.5	9.95	8.5	88.04	10	05/11/2011
4033	10.4409	0	171.64	184.95		2	1	16.44	BX	171.64	604456	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			16.44	2	16.25	11.25	10.4409	16.44	2	05/11/2011
4034	8.5	0	362.78	424.67		1	1	42.68	BX	362.78	604458	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			42.68	5	43.75	9.95	8.5	42.68	5	05/11/2011
4034	10.4409	0	689.31	742.73		2	1	66.02	BX	689.31	604458	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.02	8	65	11.25	10.4409	66.02	8	05/11/2011
4035	8.5	0	743.92	870.82		1	1	87.52	BX	743.92	604459	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.52	10	87.5	9.95	8.5	87.52	10	05/11/2011
4035	10.4409	0	693.5	747.23		2	1	66.42	BX	693.5	604459	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.42	8	65	11.25	10.4409	66.42	8	05/11/2011
4036	8.5	0	742.73	869.43		1	1	87.38	BX	742.73	604460	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.38	10	87.5	9.95	8.5	87.38	10	05/11/2011
4036	10.4409	0	688.68	742.05		2	1	65.96	BX	688.68	604460	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			65.96	8	65	11.25	10.4409	65.96	8	05/11/2011
4037	8.5	0	743.75	870.63		1	1	87.5	BX	743.75	604461	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.5	10	87.5	9.95	8.5	87.5	10	05/11/2011
4037	10.4409	0	1901.31	2048.63		2	1	182.1	BX	1901.31	604461	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			182.1	22	178.75	11.25	10.4409	182.1	22	05/11/2011
4038	8.5	0	590.58	691.33		1	1	69.48	BX	590.58	604463	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			69.48	8	70	9.95	8.5	69.48	8	05/11/2011
4038	10.4409	0	347.26	374.18		2	1	33.26	BX	347.26	604463	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			33.26	4	32.5	11.25	10.4409	33.26	4	05/11/2011
4048	8.5	0	742.56	869.23		1	1	87.36	BX	742.56	604464	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			87.36	10	87.5	9.95	8.5	87.36	10	05/11/2011
4048	10.4409	0	693.7	747.45		2	1	66.44	BX	693.7	604464	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.44	8	65	11.25	10.4409	66.44	8	05/11/2011
4127	8.5	0	750.21	878.19		1	1	88.26	BX	750.21	604465	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			88.26	10	87.5	9.95	8.5	88.26	10	05/11/2011
4127	10.4409	0	692.85	746.55		2	1	66.36	BX	692.85	604465	0	11.25	LB	 35734-1-01	BEEF, RIB CHOP 26-OZ FRD			66.36	8	65	11.25	10.4409	66.36	8	05/11/2011
4132	8.5	0	735.42	860.87		1	1	86.52	BX	735.42	604466	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			86.52	10	87.5	9.95	8.5	86.52	10	05/11/2011
