OrderNumber	InvoiceDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate	OrderDate
602144	05/31/2011	92	Posted To General Ledger	3243	25	17	101	1963453Y	MC	34017	800 SUPREME DR.	 	BENSENVILLE	US FOODSERVICE-CHICAGO	IL	60106	TRADE PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - CHICAGO 3Y	AZ	85038-9283	3725.85	0	0	1	33942.49	03/18/2011	33942.49	Net 14 Days	03/18/2011	03/18/2011
602312	05/31/2011	92	Posted To General Ledger	3243	25	17	101	2117563Y	MC	15150.64	800 SUPREME DR.	 	BENSENVILLE	US FOODSERVICE-CHICAGO	IL	60106	TRADE PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - CHICAGO 3Y	AZ	85038-9283	1832	0	0	1	15114	03/21/2011	15114	Net 14 Days	03/21/2011	03/21/2011
603982	05/02/2011	92	Posted To General Ledger	3988	9	17	332	34720	DB	15991.01	G/F UNISON IND. BUILDING 	7 SUN YIP STREET	CHAI WAN, HONG KONG	HOOVER FOOD SUPPLIER LTD.	-	-	4360 CHAMBLEE DUNWOODY RD	SUITE 112	ATLANTA	PALMETTO FOOD SERVICE	GA	30341	725.98	0	0	1	15691.01	04/14/2011	15691.01	Net 30 Days	04/14/2011	04/14/2011
604442	05/11/2011	92	Posted To General Ledger	3292	4	10	30		GR	1716.57	3316 EAST 86TH ST		INDIANAPOLIS	SULLIVAN'S STEAKHOUSE	IN	46240	3316 EAST 86TH ST		INDIANAPOLIS	SULLIVAN'S STEAKHOUSE - INDY	IN	46240	154.22	0	0	1	1620.97	04/20/2011	1620.97	Net 14 Days	04/20/2011	04/20/2011
604447	05/11/2011	92	Posted To General Ledger	4025	4	10	30		GR	1859.55	20 WEST 5TH AVENUE	FIFTH AVENUE MALL	ANCHORAGE	SULLIVAN'S OF ANCHORAGE	AK	99501	20 WEST 5TH AVENUE	FIFTH AVENUE MALL	ANCHORAGE	SULLIVAN'S OF ANCHORAGE	AK	99501	153.24	0	0	1	1610.59	04/20/2011	1610.59	Net 14 Days	04/20/2011	04/20/2011
604448	05/11/2011	92	Posted To General Ledger	4027	4	10	30		GR	2078.74	5252 CORPORATE BLVD.		BATON ROUGE	SULLIVAN'S OF BATON ROUGE	LA	70808	5252 CORPORATE BLVD.		BATON ROUGE	SULLIVAN'S OF BATON ROUGE	LA	70808	167.78	0	0	1	1830.85	04/20/2011	1830.85	Net 14 Days	04/20/2011	04/20/2011
604450	05/11/2011	92	Posted To General Ledger	4029	4	10	30		GR	1628.47	300 COLORADO STREET	SUITE 200	AUSTIN	SULLIVAN'S OF AUSTIN	TX	78701	300 COLORADO STREET	SUITE 200	AUSTIN	SULLIVAN'S OF AUSTIN	TX	78701	136.32	0	0	1	1442.7	04/20/2011	1442.7	Net 14 Days	04/20/2011	04/20/2011
604451	05/11/2011	92	Posted To General Ledger	4030	4	10	30		GR	1508.38	1928 SOUTH BOULEVARD	SUITE 200	CHARLOTTE	SULLIVAN'S OF CHARLOTTE	NC	28203	1928 SOUTH BOULEVARD	43	CHARLOTTE	SULLIVAN'S OF CHARLOTTE	NC	28203	129.36	0	0	1	1341.06	04/20/2011	1341.06	Net 14 Days	04/20/2011	04/20/2011
604452	05/11/2011	92	Posted To General Ledger	4031	4	10	30		GR	431.6	17795 NORTH DALLAS PARKWAY		DALLAS	SULLIVAN'S OF DALLAS	TX	75287	17795 NORTH DALLAS PARKWAY		DALLAS	SULLIVAN'S OF DALLAS	TX	75287	32.94	0	0	1	370.58	04/20/2011	370.58	Net 14 Days	04/20/2011	04/20/2011
604454	05/11/2011	92	Posted To General Ledger	4032	4	10	30		GR	1059.81	4608 WESTHEIMER		HOUSTON	SULLIVAN'S OF HOUSTON	TX	77027	4608 WESTHEIMER		HOUSTON	SULLIVAN'S OF HOUSTON	TX	77027	82.34	0	0	1	926.33	04/20/2011	926.33	Net 14 Days	04/20/2011	04/20/2011
604456	05/11/2011	92	Posted To General Ledger	4033	4	10	30		GR	1219.29	73-505 EL PASEO	SUITE 2600	PALM DESERT	SULLIVAN'S OF PALM DESERT	CA	92260	73-505 EL PASEO	SUITE 2600	PALM DESERT	SULLIVAN'S OF PALM DESERT	CA	92260	104.48	0	0	1	1060.95	04/20/2011	1060.95	Net 14 Days	04/20/2011	04/20/2011
604458	05/11/2011	92	Posted To General Ledger	4034	4	10	30		GR	1333.32	1758 EAST RIVER ROAD		TUCSON	SULLIVAN'S OF TUCSON	AZ	85718	1758 EAST RIVER ROAD		TUCSON	SULLIVAN'S OF TUCSON	AZ	85718	108.7	0	0	1	1167.4	04/20/2011	1167.4	Net 14 Days	04/20/2011	04/20/2011
604459	05/11/2011	92	Posted To General Ledger	4035	4	10	30		GR	1834.33	700 WEST DEKALB PIKE		KING OF PRUSSIA	SULLIVAN'S OF KING OF PRUSSIA	PA	19406	700 WEST DEKALB PIKE		KING OF PRUSSIA	SULLIVAN'S OF KING OF PRUSSIA	PA	19406	153.94	0	0	1	1618.05	04/20/2011	1618.05	Net 14 Days	04/20/2011	04/20/2011
