OrderNumber	InvoiceDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate	OrderDate
608442	06/20/2011	92	Posted To General Ledger	4124	4	17	30		GR	2207	dba ST REGIS PRINCEVILLE 	5520 KA HAKU ROAD	PRINCEVILLE	PRINCEVILLE HOTEL LP	HI	96722	 dba ST REGIS PRINCEVILLE	5520 KA HAKU ROAD	PRINCEVILLE	PRINCEVILLE HOTEL LP	HI	96722	231.42	0	0	1	1839.79	06/15/2011	1839.79	Net 14 Days	06/15/2011	06/15/2011
608468	06/20/2011	92	Posted To General Ledger	440	1	17	185	935310	JS	11387.76	9990 PRINCETON	DEL PO A004046	CINCINNATI	PIERRE FOODS	OH	45246	208 E HELEN RD		PALATINE	JASON'S FOODS INC.	IL	60067	10864	40	0	1	11387.76	06/15/2011	11387.76	Net 7 Days	06/15/2011	06/15/2011
608588	06/20/2011	92	Posted To General Ledger	3593	1	17	401		JS	2610	2021 W 18TH STREET		CHICAGO	ALEX MEATS INC.	IL	60608	5155 S SPRINGFIELD AVE		CHICAGO	ALEX MEATS INC.	IL	60632	2000	0	0	1	2610	06/16/2011	2610	COD - Cash	06/16/2011	06/16/2011
608590	06/20/2011	92	Posted To General Ledger	3418	24	0	365	CAPTAIN JOE'S/HUNTER	JS	0	28001 NAPIER RD	 	WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	28001 NAPIER RD	(SAMPLE ACCT)	WIXOM	US FOOD-DETROIT/WIXOM SAMPLE  	MI	48393	1.94	0	0	1	0	06/16/2011	0	Net 30 Days	06/16/2011	06/16/2011
608592	06/20/2011	92	Posted To General Ledger	3379	25	0	101	VILLAGE BAR/	JS	188.3	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	18.24	0	0	1	188.3	06/16/2011	188.3	Net 30 Days	06/16/2011	06/16/2011
608593	06/20/2011	92	Posted To General Ledger	3379	25	17	101	JAMESON CHAR HOUSE	JS	228.84	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	34.8	0	0	1	228.84	06/16/2011	228.84	Net 30 Days	06/16/2011	06/16/2011
608597	06/20/2011	92	Posted To General Ledger	3418	24	17	365	PERRYSBURGERS/KNIGHT	JS	0	28001 NAPIER RD	 	WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	28001 NAPIER RD	(SAMPLE ACCT)	WIXOM	US FOOD-DETROIT/WIXOM SAMPLE  	MI	48393	20	0	0	1	0	06/16/2011	0	Net 30 Days	06/16/2011	06/16/2011
608610	06/20/2011	92	Posted To General Ledger	3379	25	17	401	LADY GREGORY/	JS	7.48	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	1.02	0	0	1	7.48	06/16/2011	7.48	Net 30 Days	06/16/2011	06/16/2011
608689	06/20/2011	92	Posted To General Ledger	3487	29	23	101		JS	2128.73	1250 E HIGGINS RD		SCHAUMBURG 	WILDFIRE - SCHAUMBURG	IL	60173	1250 E HIGGINS RD		SCHAUMBURG	WILDFIRE - SCHAUMBURG	IL	60173	281.52	40	0	1	2128.73	06/20/2011	2128.73	20th EOM	06/20/2011	06/20/2011
608690	06/20/2011	92	Posted To General Ledger	71	29	9	101		JS	4734.68	235 PARKWAY DR.		LINCOLNSHIRE	WILDFIRE - LINCOLN	IL	60069	235 PARKWAY DR.		LINCOLNSHIRE	WILDFIRE - LINCOLN	IL	60069	654.36	40	0	1	4734.68	06/20/2011	4734.68	20th EOM	06/20/2011	06/20/2011
