CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
4124	6.9692	0	1612.77	1839.79		1	1	231.42	PC	1612.77	608442	0	7.95	LB	 42218-1-01	BEEF, SHORT RIBS 20-OZ 3-RIB			231.42	180	225	7.95	6.9692	231.42	18	06/20/2011
440	0.05	0.4	79.9	639.2		1	1	1598	LB	79.9	608468	0	0.4	LB	 41108-1-01	BEEF, TRIMMINGS			1598	5000	5000	0.4	0.05	1598	2	06/20/2011
440	0.8	1.16	7412.8	10748.56		2	1	9266	LB	7412.8	608468	0	1.16	LB	 43738-1-01	FROZEN BNLS STEAK TRIMMINGS			9266	5000	5000	1.16	0.8	9266	6	06/20/2011
3593	1	1.32	1950	2574		1	1	1950	BX	1950	608588	0	1.32	LB	 48511-1-01	BEEF, TENDERLOIN SIDE MUSCLE			1950	25	12500	1.32	1	1950	39	06/20/2011
3593	0.1	0.72	5	36		2	1	50	BX	5	608588	0	0.72	LB	 66019-1-01	PORK, TRIMMINGS			50	5	50	0.72	0.1	50	5	06/20/2011
3418	31.0667	0	16.78	0		1	1	0.54	LB	16.78	608590	0	-1	LB	 55284-1-01	LAMB, RIB CHOP 4-OZ FR'D CH 	TWO PIECES		0.54	1	1	0	31.0667	0.54	1	06/20/2011
3418	12.3	0	17.22	0		2	1	1.4	PC	17.22	608590	0	-1	LB	 55202-1-01	LAMB, RIB CHOP 1-RIB NZ	SEE SAUL FOR FRZN SAMPLE		1.4	1	1	0	12.3	1.4	1	06/20/2011
3418	0	0	0	0		0	2	0		0	608590	0	0		     0-0-00	MRK BX CAPTAIN JOES/HUNTER			0	0	0	0	0	0	0	06/20/2011
3379	4.9386	0	5.14	6.22		1	1	1.04	PC	5.14	608592	0	5.98	LB	 34587-1-01	BEEF, CULOTTE 8-OZ IND VAC CH			1.04	2	1	5.98	4.9386	1.04	1	06/20/2011
3379	4.9386	0	6.32	7.65		2	1	1.28	PC	6.32	608592	0	5.98	LB	 35409-1-01	BEEF, CULOTTE 10-OZ 1184D CH			1.28	2	1.25	5.98	4.9386	1.28	1	06/20/2011
3379	6.8793	0	7.15	8.62		3	1	1.04	LB	7.15	608592	0	8.29	LB	 38037-1-01	BEEF, TERES MAJOR STEAK 8-OZ	TWO PIECES		1.04	2	2	8.29	6.8793	1.04	1	06/20/2011
3379	6.8793	0	7.84	9.45		4	1	1.14	LB	7.84	608592	0	8.29	LB	 38035-1-01	BEEF, TERES MAJOR STEAK 2-OZ	2 PKG OF 4		1.14	1	1	8.29	6.8793	1.14	1	06/20/2011
3379	9.75	0	133.97	156.36		5	1	13.74	BX	133.97	608592	0	11.38	LB	 35137-1-01	FILET, 3-OZ 1190A 3PK			13.74	1	13.5	11.38	9.75	13.74	1	06/20/2011
3379	0	0	0	0		0	2	0		0	608592	0	0		     0-0-00	MRK BX'S PANOUTSOS/VILLAGE	BAR		0	0	0	0	0	0	0	06/20/2011
3379	5.71	0	73.66	77.53		1	1	12.9	PC	73.66	608593	0	6.01	LB	 39902-1-01	STRIPLOIN, 0X1 BNLS SYP ANGUS			12.9	1	12	6.01	5.71	12.9	1	06/20/2011
3379	5.74	0	86.67	91.2		2	1	15.1	PC	86.67	608593	0	6.04	LB	 39905-1-01	BEEF, RIB EYE 15/UP 112A ANGUS			15.1	1	13	6.04	5.74	15.1	1	06/20/2011
3379	8.54	0	58.07	60.11		3	1	6.8	PC	58.07	608593	0	8.84	LB	 39910-1-01	TENDERS, 5/UP PSMO ANGUS			6.8	1	5	8.84	8.54	6.8	1	06/20/2011
3379	0	0	0	0		0	2	0		0	608593	0	0		     0-0-00	MRK BX KARAMBELAS/JAMESON	CHAR HOUSE		0	0	0	0	0	0	0	06/20/2011
3418	4.24	0	84.8	0		1	1	20	BX	84.8	608597	0	-1	LB	 11365-1-01	BEEF, PATTIES 8-OZ RD KOBE			20	1	20	0	4.24	20	1	06/20/2011
3418	0	0	0	0		0	2	0		0	608597	0	0		     0-0-00	MRK BX PERRYS BURGERS/	KNIGHT		0	0	0	0	0	0	0	06/20/2011
3379	6.3474	0	6.47	7.48		1	1	1.02	LB	6.47	608610	0	7.33	LB	 35543-1-01	BEEF, FLAT IRON STK 8-OZ 114D			1.02	1	1	7.33	6.3474	1.02	1	06/20/2011
3379	0	0	0	0		0	2	0		0	608610	0	0		     0-0-00	MRK BX LADY GREGORY/GERALDINE			0	0	0	0	0	0	0	06/20/2011
3487	1.79	2.5	23.81	33.25		1	1	13.3	PC	23.81	608689	0	2.5	LB	 66387-1-01	PORK, BUTT BNLS			13.3	2	14	2.5	1.79	13.3	1	06/20/2011
3487	3.16	4.2	51.19	68.04		2	1	16.2	PC	51.19	608689	0	4.2	LB	 42256-1-01	BRISKET, FIRST CUT 7/CS CH			16.2	2	6	4.2	3.16	16.2	1	06/20/2011
3487	15.11	17.35	663.32	761.67		3	1	43.9	BX	663.32	608689	0	17.35	LB	 42361-1-01	FILET, 7-OZ 1190 WILDFIRE SEL			43.9	5	43.75	17.35	15.11	43.9	5	06/20/2011
3487	17.6075	20.5	167.62	195.16		4	1	9.52	BX	167.62	608689	0	20.5	LB	 34953-1-01	FILET, 15-OZ BI CH WILDFIRE			9.52	1	9.38	20.5	17.6075	9.52	1	06/20/2011
3487	8	10.85	67.52	91.57		5	1	8.44	BX	67.52	608689	0	10.85	LB	 16818-1-01	STRIPSTK, 14-OZ BNLS VN 1 SIDE			8.44	1	8.75	10.85	8	8.44	1	06/20/2011
3487	2.68	2.92	37.52	40.88		6	1	14	BX	37.52	608689	0	2.92	LB	 43692-1-01	GROUND BEEF, PATTY 4-OZ 80/20			14	1	14	2.92	2.68	14	1	06/20/2011
3487	2.68	2.92	42.88	46.72		7	1	16	BX	42.88	608689	0	2.92	LB	 43695-1-01	GROUND BEEF, PATTY 8-OZ 80/20			16	1	16	2.92	2.68	16	1	06/20/2011
3487	3.82	4.39	57.3	65.85		8	1	15	BX	57.3	608689	0	4.39	LB	 66465-1-01	BACON, 14/17 15# BOX FROZEN			15	1	15	4.39	3.82	15	1	06/20/2011
3487	10.0194	11.6	86.77	100.46		9	1	8.66	BX	86.77	608689	0	11.6	LB	 35959-1-01	BEEF, SKIRT STEAK 14-OZ CC			8.66	1	8.75	11.6	10.0194	8.66	1	06/20/2011
3487	4.55	8.75	39.49	75.95		10	1	8.68	BX	39.49	608689	0	8.75	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			8.68	1	10	8.75	4.55	8.68	1	06/20/2011
3487	2.55	2.75	87.72	94.6		11	1	34.4	PC	87.72	608689	0	2.75	LB	 66634-1-01	PORK, LOIN BNLS LIP OFF			34.4	4	20	2.75	2.55	34.4	1	06/20/2011
3487	0.93	1.02	37.94	41.62		12	1	40.8	BX	37.94	608689	0	1.02	LB	 48504-1-01	BEEF, BONES CUT - MARROW BONES			40.8	1	35	1.02	0.93	40.8	1	06/20/2011
3487	14.59	16.6	29.18	33.2		13	1	2	BX	29.18	608689	0	16.6	BX	 99005-1-01	PEACHES & CREAM CORN 104795			2	2	2	16.6	14.59	2	2	06/20/2011
3487	4.28	4.55	85.6	91		14	1	20	BX	85.6	608689	0	4.55	LB	 66251-1-01	BACON, BITS			20	2	20	4.55	4.28	20	2	06/20/2011
