TransactionDate	ProductCode	WarehouseCode	SalespersonCode	BillingCustomer	PONumber	LotNumber	AlternateUM	Quantity_Alt	Quantity_Prc	PricingUM	UnitCost	UnitPrice	Weight	TotalCost	TotalSales	TransactionType	TransactionTypeDesc	AssemblerCode
06/20/2011	   500-1-01	1	7	57				0	0		40	0	0	40	0	1	Charge/Cash Sale Customer Expense	17
06/20/2011	   500-1-01	1	4	67				0	0		31.12	0	0	31.12	0	1	Charge/Cash Sale Customer Expense	23
06/20/2011	   500-1-01	1	4	67				0	0		4.24	0	0	4.24	0	1	Charge/Cash Sale Customer Expense	23
06/20/2011	   500-1-01	1	4	67				0	0		4.64	0	0	4.64	0	1	Charge/Cash Sale Customer Expense	23
06/20/2011	   500-1-01	1	29	71				0	0		0.12	0	0	0.12	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.48	0	0	1.48	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.59	0	0	1.59	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.84	0	0	0.84	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.05	0	0	1.05	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.54	0	0	1.54	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.47	0	0	1.47	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		2.22	0	0	2.22	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.34	0	0	0.34	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		2.44	0	0	2.44	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.63	0	0	0.63	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.59	0	0	0.59	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.96	0	0	1.96	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.86	0	0	0.86	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.92	0	0	0.92	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.22	0	0	1.22	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		5.37	0	0	5.37	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		5.51	0	0	5.51	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.03	0	0	1.03	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		5.23	0	0	5.23	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.55	0	0	0.55	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.02	0	0	1.02	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		1.42	0	0	1.42	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	29	71				0	0		0.6	0	0	0.6	0	1	Charge/Cash Sale Customer Expense	9
06/20/2011	   500-1-01	1	9	98				0	0		76.48	0	0	76.48	0	1	Charge/Cash Sale Customer Expense	17
06/20/2011	   500-1-01	1	9	98				0	0		123.52	0	0	123.52	0	1	Charge/Cash Sale Customer Expense	17
06/20/2011	   500-1-01	1	1	440	935310			0	0		5.88	0	0	5.88	0	1	Charge/Cash Sale Customer Expense	17
06/20/2011	   500-1-01	1	1	440	935310			0	0		34.12	0	0	34.12	0	1	Charge/Cash Sale Customer Expense	17
06/20/2011	   500-1-01	1	9	688				0	0		3.13	0	0	3.13	0	1	Charge/Cash Sale Customer Expense	17
