LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType	PO_Number	Warehouse
201106200735	06/20/2011	06/20/2011	3224	 42345-1-01	98299660  	4.54	1	30	12039901	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3225	 42345-1-01	98299670  	4.54	1	29.4	12039902	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3226	 42345-1-01	98299680  	4.54	1	27.8	12039903	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3227	 42345-1-01	98299690  	4.54	1	27.6	12039904	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3228	 42345-1-01	98299700  	4.54	1	32.4	12039905	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3229	 42345-1-01	98299710  	4.54	1	31.4	12039906	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3230	 42345-1-01	98299720  	4.54	1	30.5	12039907	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3231	 42345-1-01	98299730  	4.54	1	30.6	12039908	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3232	 42345-1-01	98299740  	4.54	1	28.1	12039909	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3233	 42345-1-01	98299750  	4.54	1	34.8	12039910	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3234	 42345-1-01	98299760  	4.54	1	33.1	12039911	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3235	 42345-1-01	98299770  	4.54	1	29.5	12039912	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3236	 42345-1-01	98299780  	4.54	1	26.6	12039913	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3237	 42345-1-01	98299790  	4.54	1	31	12039914	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3238	 42345-1-01	98299800  	4.54	1	26.5	12039915	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3239	 42345-1-01	98299810  	4.54	1	29.5	12039916	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3240	 42345-1-01	98299820  	4.54	1	29.4	12039917	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3241	 42345-1-01	98299840  	4.54	1	27.9	12039918	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3242	 42345-1-01	98299850  	4.54	1	28.1	12039919	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3243	 42345-1-01	98299860  	4.54	1	27.3	12039920	3901	13302	00004800        	1	     72244	1
201106200735	06/20/2011	06/20/2011	3244	 42345-1-01	98299870  	4.54	1	26.4	12039921	3901	13302	00004800        	1	     72244	1
201106200739	06/20/2011	06/20/2011	365	 48501-1-01	17992685  	0.93	-1	-46.2	12039922	7320	12068	00005117        	4		1
201106200739	06/20/2011	06/20/2011	51	 48504-1-01	17992685  	0.93	1	46.2	12039923	7321	12068		1		1
201106200747	06/20/2011	06/20/2011	3245	  4215-1-01	0386331067	2.12	1	44.6	12039924	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3246	  4215-1-01	0386331157	2.12	1	44.8	12039925	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3247	  4215-1-01	0386332038	2.12	1	34.9	12039926	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3248	  4215-1-01	0386338736	2.12	1	43.2	12039927	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3249	  4215-1-01	0386338815	2.12	1	45	12039928	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3250	  4215-1-01	0386339019	2.12	1	44.9	12039929	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3251	  4215-1-01	0386339103	2.12	1	35.9	12039930	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3252	  4215-1-01	0386339115	2.12	1	37	12039931	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3253	  4216-1-01	0000192348	1.59	1	63	12039932	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3254	  4216-1-01	0723879585	1.59	1	70.3	12039933	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3255	  4216-1-01	0723879723	1.59	1	72.4	12039934	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3256	  4244-1-01	0723855047	3.54	1	15.4	12039935	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3257	  4244-1-01	0723865418	3.54	1	13.7	12039936	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3258	  4244-1-01	0723865430	3.54	1	13	12039937	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3259	  4244-1-01	0723865593	3.54	1	12.6	12039938	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3260	  4244-1-01	0723865641	3.54	1	12.6	12039939	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3261	  4244-1-01	0723865656	3.54	1	13.3	12039940	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3262	  4244-1-01	0723865669	3.54	1	13.1	12039941	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3263	  4244-1-01	0723865675	3.54	1	14.3	12039942	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3264	  4318-1-01	0723859159	2.15	1	55.4	12039943	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3265	  4318-1-01	0888182955	2.15	1	62.3	12039944	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3266	  4318-1-01	0888262921	2.15	1	63.5	12039945	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3267	  4318-1-01	0888262992	2.15	1	58.7	12039946	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3268	  4318-1-01	0888263024	2.15	1	58.9	12039947	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3269	  4318-1-01	0888263079	2.15	1	60.4	12039948	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3270	  4318-1-01	0888263090	2.15	1	58.1	12039949	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3271	  4318-1-01	0888263099	2.15	1	60.7	12039950	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3272	  4318-1-01	0888263106	2.15	1	60	12039951	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3273	  4318-1-01	0888263151	2.15	1	57.9	12039952	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3274	  4318-1-01	0888263190	2.15	1	55.3	12039953	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3275	  4318-1-01	0888263207	2.15	1	56.4	12039954	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3276	  4318-1-01	0888263397	2.15	1	56.7	12039955	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3277	  4318-1-01	0888263438	2.15	1	57.1	12039956	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3278	  4318-1-01	0888263444	2.15	1	57.3	12039957	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3279	  4318-1-01	0888263457	2.15	1	57.1	12039958	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3280	  4318-1-01	0888263491	2.15	1	60	12039959	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3281	  4318-1-01	0888263504	2.15	1	61.4	12039960	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3282	  4318-1-01	0888263515	2.15	1	56.1	12039961	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3283	  4318-1-01	0888263603	2.15	1	56.3	12039962	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3284	  4318-1-01	0888263618	2.15	1	56.8	12039963	3901	12450		1	     93359	1
201106200747	06/20/2011	06/20/2011	3285	  4318-1-01	0888263850	2.15	1	61.5	12039964	3901	12450		1	     93359	1
