PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
     30352	   998-1-01	0	35.28	EA 	EA 	06/20/2011	13.14	35.28	0	35.28	35.28	35.28	35.28	0	                              	                              	                              	                              
     56226	  1634-1-06	0	75	BX 	LB 	06/20/2011	8.1	5625.14	6294.8	75	75	5625.14	6294.8	0	                              	                              	                              	                              
     56274	  1368-1-06	0	50	BX 	LB 	06/20/2011	9.193	2906.98	3124.5	50	50	2906.98	3124.5	0	                              	                              	                              	                              
     56274	  1444-1-06	0	25	BX 	LB 	06/20/2011	8.243	1506.02	1470.6	20	25	1506.02	1470.6	0	                              	                              	                              	                              
     56274	  1168-1-06	0	15	BX 	LB 	06/20/2011	7.843	1056.34	1113.2	15	15	1056.34	1113.2	0	                              	                              	                              	                              
     56274	  1630-1-06	0	50	BX 	LB 	06/20/2011	10.413	3800.26	2643.8	34	50	3800.26	2643.8	0	                              	                              	                              	                              
     56274	  2009-1-06	0	85	BX 	LB 	06/20/2011	7.763	6035.22	4670.1	61	85	6035.22	4670.1	0	                              	                              	                              	                              
     56274	  1634-1-06	0	25	BX 	LB 	06/20/2011	7.983	1875.05	1896.9	25	25	1875.05	1896.9	0	                              	                              	                              	                              
     56275	  2323-1-01	0	10	BX 	LB 	06/20/2011	3.783	530.03	205.4	3	10	530.03	205.4	0	                              	                              	                              	                              
     56275	  4359-1-01	0	10	BX 	LB 	06/20/2011	3.043	500	695	10	10	500	695	0	                              	                              	                              	                              
     56275	  1911-1-01	0	2	BX 	LB 	06/20/2011	3.783	130.04	80.8	1	2	130.04	80.8	0	                              	                              	                              	                              
     56275	  7314-1-01	0	2	BX 	LB 	06/20/2011	3.043	130.01	134.3	2	2	130.01	134.3	0	                              	                              	                              	                              
     56275	  1769-1-01	0	5	BX 	LB 	06/20/2011	3.993	300.01	279	5	5	300.01	279	0	                              	                              	                              	                              
     56275	  2321-1-01	0	40	BX 	LB 	06/20/2011	5.173	2000	2025.7	40	40	2000	2025.7	0	                              	                              	                              	                              
     56275	  1603-1-01	0	10	BX 	LB 	06/20/2011	8.223	750.02	171	2	10	750.02	171	0	                              	                              	                              	                              
     56275	  1632-1-01	0	3	BX 	LB 	06/20/2011	8.483	225.01	246.8	3	3	225.01	246.8	0	                              	                              	                              	                              
     56275	  1369-1-01	0	7	BX 	LB 	06/20/2011	5.693	483.03	371	6	7	483.03	371	0	                              	                              	                              	                              
     56275	  1138-1-01	0	3	BX 	LB 	06/20/2011	5.713	225.01	247	3	3	225.01	247	0	                              	                              	                              	                              
     56275	  1604-1-01	0	14	BX 	LB 	06/20/2011	5.093	1008.06	1194.7	14	14	1008.06	1194.7	0	                              	                              	                              	                              
     56275	  1739-1-01	0	10	BX 	LB 	06/20/2011	7.483	750.02	840.4	10	10	750.02	840.4	0	                              	                              	                              	                              
     56276	  1374-1-01	0	20	BX 	LB 	06/20/2011	5.643	1160.03	1255.4	20	20	1160.03	1255.4	0	                              	                              	                              	                              
     56276	  1790-1-01	0	10	BX 	LB 	06/20/2011	5.673	780.03	809.3	10	10	780.03	809.3	0	                              	                              	                              	                              
     56276	  1047-1-01	0	35	BX 	LB 	06/20/2011	5.283	1750	2666	35	35	1750	2666	0	                              	                              	                              	                              
     56276	  1448-1-01	0	15	BX 	LB 	06/20/2011	5.473	870.02	1193.4	15	15	870.02	1193.4	0	                              	                              	                              	                              
     56276	  1904-1-01	0	10	BX 	LB 	06/20/2011	2.593	500	834.5	10	10	500	834.5	0	                              	                              	                              	                              
     56276	  2297-1-01	0	1	BX 	LB 	06/20/2011	2.093	55	72.3	1	1	55	72.3	0	                              	                              	                              	                              
     56276	  1675-1-01	0	15	BX 	LB 	06/20/2011	8.553	1125.03	1151.8	15	15	1125.03	1151.8	0	                              	                              	                              	                              
     56276	  3706-1-01	0	15	BX 	LB 	06/20/2011	5.093	450	352.1	15	15	450	352.1	0	                              	                              	                              	                              
     56276	  1523-1-01	0	10	BX 	LB 	06/20/2011	5.063	550.02	670.5	10	10	550.02	670.5	0	                              	                              	                              	                              
     56276	  1602-1-01	0	10	BX 	LB 	06/20/2011	4.673	740.03	779.8	10	10	740.03	779.8	0	                              	                              	                              	                              
     56276	  2304-1-01	0	4	BX 	LB 	06/20/2011	2.013	240.01	241	4	4	240.01	241	0	                              	                              	                              	                              
     56276	  4458-1-01	0	10	BX 	LB 	06/20/2011	2.503	400	769.4	10	10	400	769.4	0	                              	                              	                              	                              
     56276	  4322-1-01	0	6	BX 	LB 	06/20/2011	3.703	420.02	239.4	3	6	420.02	239.4	0	                              	                              	                              	                              
     56480	  2324-1-01	0	30	BX 	LB 	06/20/2011	5.95	1500	596.2	15	30	1500	596.2	3547.39	                              	                              	                              	                              
     56480	  1806-1-01	0	22	BX 	LB 	06/20/2011	2.35	1320.05	1425.1	22	22	1320.05	1425.1	3348.99	                              	                              	                              	                              
     56480	  2299-1-01	0	20	BX 	LB 	06/20/2011	2.08	1400.56	1312.3	20	20	1400.56	1312.3	2729.58	                              	                              	                              	                              
     56480	  1752-1-01	0	5	BX 	LB 	06/20/2011	8.31	400	379.2	5	5	400	379.2	3151.15	                              	                              	                              	                              
     56480	  2009-1-01	0	50	BX 	LB 	06/20/2011	7.98	3550.13	3337.7	45	50	3550.13	3337.7	26634.85	                              	                              	                              	                              
     56480	  1368-1-01	0	15	BX 	LB 	06/20/2011	9.36	872.09	806.5	14	15	872.09	806.5	7548.84	                              	                              	                              	                              
