CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3243	4	0	3016.32	8121.44		1	1	754.08	BX	3016.32	608415	0	10.77	LB	 35955-1-01	BEEF, OUTER SKIRT STK 8-OZ CH			754.08	60	720	10.77	4	754.08	60	06/21/2011
3243	4	0	3089.28	6773.25		2	1	772.32	BX	3089.28	608415	0	8.77	LB	 35962-1-01	BEEF, OUTER SKIRT STEAK 6-OZ			772.32	72	756	8.77	4	772.32	72	06/21/2011
3243	3.5	0	20415.62	26248.64		1	1	5833.03	BX	20415.62	608495	0	4.5	LB	 36831-1-01	BEEF, VEIN STK 12-OZ CH			5833.03	486	5832	4.5	3.5	5833.03	486	06/21/2011
654	10.5	0	132.09	191.85		1	1	12.58	BX	132.09	608709	0	15.25	LB	 35165-1-01	FILET, 5-OZ 1190A 1ST CUT CH			12.58	1	11.25	15.25	10.5	12.58	1	06/21/2011
654	2.68	3.5	172.86	225.75		2	1	64.5	BX	172.86	608709	0	3.5	LB	 11115-1-01	BEEF, BNLS SHOULDER CLOD HEART			64.5	1	60	3.5	2.68	64.5	1	06/21/2011
654	8.78	9.95	319.59	362.18		3	1	36.4	PC	319.59	608709	0	9.95	LB	 32216-1-01	TENDERS, 6/UP POLISHED SYP CS			36.4	6	36	9.95	8.78	36.4	1	06/21/2011
654	4	0	77.04	249.42		4	1	19.26	BX	77.04	608709	0	12.95	LB	 14145-1-01	STRIPSTK, 12-OZ BNLS VN 1 SIDE			19.26	1	18.75	12.95	4	19.26	1	06/21/2011
654	28.5	0	570	659		5	1	20	BX	570	608709	0	32.95	LB	 78005-1-01	LOBSTER, 5/6-OZ S. AFRICAN TAI			20	2	20	32.95	28.5	20	2	06/21/2011
579	9.35	10.35	969.41	1084.68		1	1	104.8	PC	969.41	608710	0	10.35	LB	 55048-1-01	LAMB, RACK 8-RIB WHOLE CRYOVAC			104.8	15	150	10.35	9.35	104.8	3	06/21/2011
3243	9.05	0	4447.36	4928.94		1	1	491.42	BX	4447.36	608719	0	10.03	LB	 34949-1-01	BEEF, TENDER MED 2-OZ			491.42	50	500	10.03	9.05	491.42	47	06/21/2011
3243	5.71	0	291.79	307.11		2	1	51.1	BX	291.79	608719	0	6.01	LB	 39902-1-01	STRIPLOIN, 0X1 BNLS SYP ANGUS			51.1	4	48	6.01	5.71	51.1	4	06/21/2011
3243	9.75	0	2980.81	3479.09		3	1	305.72	BX	2980.81	608719	0	11.38	LB	 35137-1-01	FILET, 3-OZ 1190A 3PK			305.72	30	405	11.38	9.75	305.72	22	06/21/2011
3243	7.61	0	1181.84	1256.38		4	1	155.3	BX	1181.84	608719	0	8.09	LB	 42236-1-01	TENDERS, 5/UP PSMO SEL			155.3	6	120	8.09	7.61	155.3	6	06/21/2011
3243	3.4737	0	2084.4	2670		5	1	600	BX	2084.4	608719	0	4.45	LB	 43732-1-01	BEEF, STEW 1" FROZEN			600	60	600	4.45	3.4737	600	60	06/21/2011
3243	5.28	0	1621.48	1685.98		6	1	307.1	BX	1621.48	608719	0	5.49	LB	 31302-1-01	BEEF, RIB EYE 15/UP 2" LIP CH			307.1	18	234	5.49	5.28	307.1	18	06/21/2011
3243	8.04	0	1250.21	1289.1		7	1	155.5	BX	1250.21	608719	0	8.29	LB	 32203-1-01	BEEF,TENDER PSMO 5/UP			155.5	10	150	8.29	8.04	155.5	10	06/21/2011
3243	5.23	0	391.22	404.67		8	1	74.8	BX	391.22	608719	0	5.41	LB	 31403-1-01	STRIPLOIN, 0X1 BNLS 1/BOX			74.8	6	72	5.41	5.23	74.8	6	06/21/2011
3243	5.28	0	507.41	570.83		9	1	96.1	BX	507.41	608719	0	5.94	LB	 31342-1-01	BEEF, RIB EYE 15/UP 112A 2"LIP			96.1	3	78	5.94	5.28	96.1	3	06/21/2011
3243	7.15	0	858	1045.2		10	1	120	BX	858	608719	0	8.71	LB	 55627-1-01	LAMB, STEW FROZEN			120	12	120	8.71	7.15	120	12	06/21/2011
