PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
     56418	  1630-1-06	0	40	BX 	LB 	06/21/2011	10.4	3040.21	2967.2	40	40	3040.21	2967.2	0	                              	                              	                              	                              
     56418	  2009-1-06	0	100	BX 	LB 	06/21/2011	7.5	7100.26	5149.3	100	100	7100.26	5149.3	0	                              	                              	                              	                              
     56418	  1444-1-06	0	100	BX 	LB 	06/21/2011	8.25	6024.1	4342.6	75	100	6024.1	4342.6	0	                              	                              	                              	                              
     56418	  1038-1-06	0	75	BX 	LB 	06/21/2011	5.4	5625.14	3637.4	70	75	5625.14	3637.4	0	                              	                              	                              	                              
     56483	  1142-1-01	0	30	BX 	LB 	06/21/2011	5.38	2400	2341.7	30	30	2400	2341.7	12598.35	                              	                              	                              	                              
     56483	  1041-1-01	0	38	BX 	LB 	06/21/2011	5.19	2090.09	1212.7	19	38	2090.09	1212.7	6293.91	                              	                              	                              	                              
     56483	  4181-1-01	0	10	BX 	LB 	06/21/2011	2.85	100	561.4	10	10	100	561.4	1599.99	                              	                              	                              	                              
     56483	  5100-1-01	0	5	BX 	LB 	06/21/2011	6.85	175	409.8	5	5	175	409.8	2807.13	                              	                              	                              	                              
     56483	  7314-1-01	0	5	BX 	LB 	06/21/2011	3.95	325.01	332.7	5	5	325.01	332.7	1314.17	                              	                              	                              	                              
     56483	  1137-1-01	0	5	BX 	LB 	06/21/2011	7.9	390.02	339.1	5	5	390.02	339.1	2678.89	                              	                              	                              	                              
     56497	  1368-1-06	0	80	BX 	LB 	06/21/2011	9.05	4651.16	5336.9	82	80	4651.16	5336.9	48298.95	                              	                              	                              	                              
     72223	 15711-1-01	0	40	BX 	LB 	06/21/2011	15.35	320	307.1	40	40	320	307.1	0	                              	                              	                              	                              
     72223	 15719-1-01	0	40	BX 	LB 	06/21/2011	15.35	280	277.1	40	40	280	277.1	0	                              	                              	                              	                              
     72233	 75000-1-01	0	25	BX 	LB 	06/21/2011	3.64	375	425	25	25	375	425	1547	                              	                              	                              	                              
     72233	 75022-1-01	0	25	BX 	LB 	06/21/2011	3.64	525	500	25	25	525	500	1820	                              	                              	                              	                              
     72233	 74523-1-01	0	3	BX 	LB 	06/21/2011	0.34	120	120	3	3	120	120	40.8	                              	                              	                              	                              
     72240	  1390-1-06	0	300	BX 	LB 	06/21/2011	4.55	16500.7	11881	200	300	16500.7	11881	54058.55	                              	                              	                              	                              
     72240	  2323-1-06	0	13	BX 	LB 	06/21/2011	3.6	689.03	681.4	10	13	689.03	681.4	2453.04	                              	                              	                              	                              
     72246	  7147-1-01	0	3	BX 	LB 	06/21/2011	2.95	150	150	3	3	150	150	442.5	                              	                              	                              	                              
     72249	 66014-1-01	0	15	BX 	LB 	06/21/2011	1.04	450	450	15	15	450	450	468	                              	                              	                              	                              
