Date	PO_Number	WarehouseCode	VendorCode	TermsCode	RequiredDate	AmountInvoiced	EstimatedTotalOrder	EstimatedTotalWeight	TotalOrderReceived	Status
06/17/2011	     72233	1	11245	1	06/21/2011	3407.8	3316.8	1020	3407.8	2
06/17/2011	     72246	1	11245	1	06/21/2011	442.5	442.5	150	442.5	2
06/17/2011	     72247	1	15950	1	06/21/2011	0	900	240	1214.06	2
06/17/2011	     72249	1	10900	1	06/21/2011	819.24	674.1	540	819.24	2
06/17/2011	     72252	6	12450	1	06/21/2011	0	239705.59	30000.7	237612.21	2
06/17/2011	     72253	1	12067	1	06/21/2011	10789.8	10448.13	1142.5	10789.8	2
06/20/2011	     72277	1	12710	1	06/21/2011	1655.75	1670.63	620.01	1655.75	2
06/20/2011	     72278	1	15650	1	06/21/2011	783.98	340.8	80	783.98	2
06/20/2011	     93373	1	15775	1	06/21/2011	2787.75	2655	900	2787.75	2
06/21/2011	     93374	1	16126	1	06/21/2011	1120	1060	350	1120	2
06/20/2011	     93375	1	15150	1	06/21/2011	0	812.14	284.68	910.61	2
06/21/2011	M57003    	1	13430	1	06/21/2011	73569.57	69459.85	8462.17	73569.57	2
