CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3434	16.4571	0	240.6	309.21		1	1	14.62	PC	240.6	609081	0	21.15	LB	 34047-1-01	FILET, 5-OZ 1190A CC CH			14.62	45	14.06	21.15	16.4571	14.62	2	06/27/2011
3434	18.2676	0	225.79	261.41		2	1	12.36	PC	225.79	609081	0	21.15	LB	 35288-1-01	FILET, 8-OZ 1190B SK/S OFF			12.36	24	12	21.15	18.2676	12.36	1	06/27/2011
3434	12	0	124.32	133.64		3	1	10.36	PC	124.32	609081	0	12.9	LB	 14600-1-01	STRIPSTK, 8-OZ CC BNLS NV 1" P			10.36	20	10	12.9	12	10.36	1	06/27/2011
3434	5.4687	0	166.35	281.39		4	1	30.42	PC	166.35	609081	0	9.25	LB	 14545-1-01	BEEF, CULOTTE STK 8-OZ PR			30.42	60	30	9.25	5.4687	30.42	3	06/27/2011
3434	10.7943	0	65.85	76.86		5	1	6.1	PC	65.85	609081	0	12.6	LB	 25500-1-01	BEEF, RIB EYE 10-OZ 1112 CAB			6.1	10	6.25	12.6	10.7943	6.1	1	06/27/2011
3434	11.8667	0	93.03	105.84		6	1	7.84	PC	93.03	609081	0	13.5	LB	 25540-1-01	BEEF, RIB CHOP 20/22-OZ BI CAB			7.84	6	7.88	13.5	11.8667	7.84	1	06/27/2011
4075	15.6804	17.25	217.02	242.2		1	1	13.84	BX	217.02	609161	0	17.5	LB	 15717-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			13.84	1	13.13	17.5	15.6804	13.84	1	06/27/2011
4075	23.5407	0	685.98	808.64		2	1	29.14	BX	685.98	609161	0	27.75	LB	 15250-1-01	FILET, 9-OZ 1190B SK/S OFF			29.14	2	28.13	27.75	23.5407	29.14	2	06/27/2011
3593	1	1.32	900	1188		1	1	900	BX	900	609194	0	1.32	LB	 48511-1-01	BEEF, TENDERLOIN SIDE MUSCLE			900	25	12500	1.32	1	900	18	06/27/2011
3593	0.1	0.72	5	36		2	1	50	BX	5	609194	0	0.72	LB	 66019-1-01	PORK, TRIMMINGS			50	5	50	0.72	0.1	50	5	06/27/2011
2129	7.4167	0	7.71	0		1	1	1.04	PC	7.71	609198	0	-1	LB	 36030-1-01	BEEF, T-BONE 16-OZ CHOICE			1.04	1	1	0	7.4167	1.04	1	06/27/2011
2129	9.4966	0	11.02	0		2	1	1.16	PC	11.02	609198	0	-1	LB	 35729-1-01	BEEF, RIB CHOP 16/18-OZ BI CH			1.16	1	1.13	0	9.4966	1.16	1	06/27/2011
2129	10.5508	0	9.71	0		3	1	0.92	PC	9.71	609198	0	-1	LB	 35800-1-01	BEEF, RIB CHOP 14/16-OZ FRD CH			0.92	1	1	0	10.5508	0.92	1	06/27/2011
2129	8.45	0	7.77	0		4	1	0.92	PC	7.77	609198	0	-1	LB	 34303-1-01	STRIPSTK, 14-OZ CC BI 1" CH			0.92	1	0.88	0	8.45	0.92	1	06/27/2011
2129	7.5	0	6.75	0		5	1	0.9	PC	6.75	609198	0	-1	LB	 38512-1-01	STRIPSTK,14-OZ CC CHOICE			0.9	1	0.88	0	7.5	0.9	1	06/27/2011
2129	0	0	0	0		0	2	0		0	609198	0	0		     0-0-00	MRK BX THE BULL/TROY	BARBER		0	0	0	0	0	0	0	06/27/2011
3418	5.4296	0	5.65	0		1	1	1.04	PC	5.65	609199	0	-1	LB	 39784-1-01	BEEF, TOP BUTT 8-OZ SLAB CUT			1.04	2	1	0	5.4296	1.04	1	06/27/2011
3418	7.8564	0	15.56	0		2	1	1.98	PC	15.56	609199	0	-1	LB	 35703-1-01	BEEF, RIB CHOP 14/16-OZ CH			1.98	2	1.88	0	7.8564	1.98	1	06/27/2011
3418	8.5486	0	12.48	0		3	1	1.46	PC	12.48	609199	0	-1	LB	 30141-1-01	BEEF, RIB EYE 12-OZ 1" TL CH			1.46	2	1.5	0	8.5486	1.46	1	06/27/2011
3418	7.5	0	13.5	0		4	1	1.8	PC	13.5	609199	0	-1	LB	 34184-1-01	STRIPSTK, 14-OZ BNLS CC NV 1"			1.8	2	1.75	0	7.5	1.8	1	06/27/2011
3418	4.8422	0	5.13	0		5	1	1.06	PC	5.13	609199	0	-1	LB	 34587-1-01	BEEF, CULOTTE 8-OZ IND VAC CH			1.06	2	1	0	4.8422	1.06	1	06/27/2011
3418	3.8922	0	4.36	0		6	1	1.12	PC	4.36	609199	0	-1	LB	 38411-1-01	BEEF, BALL TIP 8-OZ CH			1.12	2	1	0	3.8922	1.12	1	06/27/2011
3418	3.5	0	36.89	0		7	1	10.54	BX	36.89	609199	0	-1	LB	 16805-1-01	BEEF, STRIP LOIN STK 12-OZ PR			10.54	1	10.5	0	3.5	10.54	1	06/27/2011
3418	0	0	0	0		0	2	0		0	609199	0	0		     0-0-00	MRK BX'S BLACKSTONE PUB	& GRILL/MIKE STCYR		0	0	0	0	0	0	0	06/27/2011
3418	6.3882	0	75.13	0		1	1	11.76	BX	75.13	609200	0	-1	LB	 14582-1-01	BEEF, TOP BUTT 8-OZ 1184B PR			11.76	1	12	0	6.3882	11.76	1	06/27/2011
3418	5	0	60.4	0		2	1	12.08	BX	60.4	609200	0	-1	LB	 34282-1-01	STRIPSTK, 10-OZ BNLS NV CC 1"			12.08	1	12.5	0	5	12.08	1	06/27/2011
3418	0	0	0	0		0	2	0		0	609200	0	0		     0-0-00	MRK BX'S BRUBAKER			0	0	0	0	0	0	0	06/27/2011
3418	7.5	0	20.55	0		1	1	2.74	PC	20.55	609205	0	-1	LB	 38511-1-01	STRIPSTK,12-OZ CC CHOICE			2.74	4	3	0	7.5	2.74	1	06/27/2011
3418	5.6235	0	11.92	0		2	1	2.12	PC	11.92	609205	0	-1	LB	 34540-1-01	BEEF, TOP BUTT 8-OZ 1184B CH			2.12	4	2	0	5.6235	2.12	1	06/27/2011
3418	14.4549	0	15.03	0		3	1	1.04	PC	15.03	609205	0	-1	LB	 39453-1-01	FILET, 4-OZ CC 1189A ANGUS			1.04	4	1	0	14.4549	1.04	1	06/27/2011
3418	10.45	0	31.56	0		4	1	3.02	PC	31.56	609205	0	-1	LB	 39312-1-01	STRIPSTK, 12-OZ CC BNLS ANGS			3.02	4	3	0	10.45	3.02	1	06/27/2011
3418	18.2676	0	37.63	0		5	1	2.06	LB	37.63	609205	0	-1	LB	 35300-1-01	FILET, 8-OZ 1190B CC CH	FOUR PIECES		2.06	2	2	0	18.2676	2.06	1	06/27/2011
3418	10.0815	0	51.62	0		6	1	5.12	PC	51.62	609205	0	-1	LB	 35534-1-01	BEEF, RIB CHOP 18/20-OZ BI CH			5.12	4	5	0	10.0815	5.12	1	06/27/2011
3418	0	0	0	0		0	2	0		0	609205	0	0		     0-0-00	MRK BX JERRY HEBEKEUSER			0	0	0	0	0	0	0	06/27/2011
3640	5.4296	0	3.37	0		1	1	0.62	PC	3.37	609206	0	-1	LB	 39781-1-01	BEEF, TOP BUTT 10-OZ SLAB CUT			0.62	1	0.63	0	5.4296	0.62	1	06/27/2011
3640	7.5	0	6	0		2	1	0.8	PC	6	609206	0	-1	LB	 34162-1-01	STRIPSTK, 12-OZ 1180A CC CH			0.8	1	0.75	0	7.5	0.8	1	06/27/2011
3640	0	0	0	0		0	2	0		0	609206	0	0		     0-0-00	MRK BX BILLY BOBS/HILL			0	0	0	0	0	0	0	06/27/2011
3379	7.5	0	9.75	13.05		1	1	1.3	PC	9.75	609208	0	10.04	LB	 34176-1-01	STRIPSTK, 10-OZ MANHATTAN CUT			1.3	2	1.25	10.04	7.5	1.3	1	06/27/2011
3379	4.8422	0	4.84	5.91		2	1	1	PC	4.84	609208	0	5.91	LB	 34587-1-01	BEEF, CULOTTE 8-OZ IND VAC CH			1	2	1	5.91	4.8422	1	1	06/27/2011
3379	7.1092	0	8.1	9.6		3	1	1.14	LB	8.1	609208	0	8.42	LB	 38040-1-01	BEEF, TERES MAJOR STEAK 3-OZ	TWO PKG OF THREE		1.14	1	1	8.42	7.1092	1.14	1	06/27/2011
3379	7.1092	0	7.11	8.42		4	1	1	LB	7.11	609208	0	8.42	LB	 38037-1-01	BEEF, TERES MAJOR STEAK 8-OZ	TWO PIECES		1	1	1	8.42	7.1092	1	1	06/27/2011
3379	5	0	44.5	69.42		5	1	8.9	BX	44.5	609208	0	7.8	LB	 34234-1-01	STRIPSTK, 12-OZ CC NV CH			8.9	1	9	7.8	5	8.9	1	06/27/2011
3379	9.75	0	135.14	158.28		6	1	13.86	BX	135.14	609208	0	11.42	LB	 35137-1-01	FILET, 3-OZ 1190A 3PK			13.86	1	13.5	11.42	9.75	13.86	1	06/27/2011
3379	0	0	0	0		0	2	0		0	609208	0	0		     0-0-00	MRK BX BATCHELDER/VILLAGE			0	0	0	0	0	0	0	06/27/2011
3379	7.5	0	9.75	13		1	1	1.3	PC	9.75	609209	0	10	LB	 34176-1-01	STRIPSTK, 10-OZ MANHATTAN CUT			1.3	2	1.25	10	7.5	1.3	1	06/27/2011
3379	7.1092	0	7.11	8.38		2	1	1	LB	7.11	609209	0	8.38	LB	 38037-1-01	BEEF, TERES MAJOR STEAK 8-OZ	TWO PIECES		1	1	1	8.38	7.1092	1	1	06/27/2011
3379	0	0	0	0		0	2	0		0	609209	0	0		     0-0-00	MRK BX ENGLAND/THE OFFICE			0	0	0	0	0	0	0	06/27/2011
3379	4.1765	0	2.26	2.81		1	1	0.54	PC	2.26	609210	0	5.21	LB	 65906-1-01	PORK, 8-OZ LOIN CHOP CC SM			0.54	1	0.5	5.21	4.1765	0.54	1	06/27/2011
3379	0	0	0	0		0	2	0		0	609210	0	0		     0-0-00	MRK BX VETHACKE/CAFE ROMA			0	0	0	0	0	0	0	06/27/2011
