OrderNumber	InvoiceDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate	OrderDate
609081	06/27/2011	92	Posted To General Ledger	3434	4	17	31		GR	1203.24	211 ARLINGTON AVE		N. VERSAILLES	SUMMIT FOODS	PA	15137	211 ARLINGTON AVE		N. VERSAILLES	SUMMIT FOODS	PA	15137	81.7	0	0	1	1168.35	06/23/2011	1168.35	UPON RECPT	06/23/2011	06/23/2011
609161	06/27/2011	92	Posted To General Ledger	4075	9	17	30	1126001311	DB	1050.84	2727 W CLUB DRIVE 	dba BOB'S STEAK & CHOP HOUSE	TUCSON	OMNI TUCSON NATIONAL RESORT	AZ	85742	dba BOB'S STEAK & CHOP HOUSE	2727 W CLUB DRIVE	TUCSON	OMNI TUCSON NATIONAL RESORT	AZ	85742	42.98	55.54	0	1	1050.84	06/24/2011	1050.84	Net 30 Days	06/24/2011	06/24/2011
609194	06/27/2011	92	Posted To General Ledger	3593	1	17	401		JS	1224	2021 W 18TH STREET		CHICAGO	ALEX MEATS INC.	IL	60608	5155 S SPRINGFIELD AVE		CHICAGO	ALEX MEATS INC.	IL	60632	950	0	0	1	1224	06/24/2011	1224	COD - Cash	06/24/2011	06/24/2011
609198	06/27/2011	92	Posted To General Ledger	2129	21	0	170	THE BULL/TROY BARBER	JS	0	-		                  	US FOOD - MILWAUKEE SAMPLES	  	          	                              		                  	US FOOD - MILWAUKEE SAMPLES	  	          	4.94	0	0	1	0	06/24/2011	0	Net 30 Days	06/24/2011	06/24/2011
609199	06/27/2011	92	Posted To General Ledger	3418	24	0	365	BLACKSTONES PUB/GRIL	JS	0	28001 NAPIER RD	 	WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	28001 NAPIER RD	(SAMPLE ACCT)	WIXOM	US FOOD-DETROIT/WIXOM SAMPLE  	MI	48393	19	0	0	1	0	06/24/2011	0	Net 30 Days	06/24/2011	06/24/2011
609200	06/27/2011	92	Posted To General Ledger	3418	24	0	365	BRUBAKER	JS	0	28001 NAPIER RD	 	WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	28001 NAPIER RD	(SAMPLE ACCT)	WIXOM	US FOOD-DETROIT/WIXOM SAMPLE  	MI	48393	23.84	0	0	1	0	06/24/2011	0	Net 30 Days	06/24/2011	06/24/2011
609205	06/27/2011	92	Posted To General Ledger	3418	24	0	365	JERRY HEBEKEUSER	JS	0	28001 NAPIER RD	 	WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	28001 NAPIER RD	(SAMPLE ACCT)	WIXOM	US FOOD-DETROIT/WIXOM SAMPLE  	MI	48393	16.1	0	0	1	0	06/24/2011	0	Net 30 Days	06/24/2011	06/24/2011
609206	06/27/2011	92	Posted To General Ledger	3640	23	0	401	BILLY BOBS/HILL	JS	0	ONE QUALITY LANE 	 	STREATOR 	US FOODSERVICE - STREATOR 	IL	61364	ONE QUALITY LANE	 	STREATOR	US FOOD STREATOR 3K - SAMPLES	IL	61364	1.42	0	0	1	0	06/24/2011	0	Net 30 Days	06/24/2011	06/24/2011
609208	06/27/2011	92	Posted To General Ledger	3379	25	0	101	BATCHELDER/VILLAGE	JS	264.68	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	27.2	0	0	1	264.68	06/24/2011	264.68	Net 30 Days	06/24/2011	06/24/2011
609209	06/27/2011	92	Posted To General Ledger	3379	25	0	101	ENGLAND/THE OFFICE	JS	21.38	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	2.3	0	0	1	21.38	06/24/2011	21.38	Net 30 Days	06/24/2011	06/24/2011
