PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
     30354	   998-1-01	0	40	EA 	EA 	06/27/2011	13.14	40	0	40	40	40	40	0	                              	                              	                              	                              
     30354	   998-1-01	0	7.68	EA 	EA 	06/27/2011	19.71	7.68	0	7.68	7.68	7.68	7.68	0	                              	                              	                              	                              
     56279	  2323-1-01	0	30	BX 	LB 	06/27/2011	3.823	1590.08	1663.3	25	30	1590.08	1663.3	6358.8	                              	                              	                              	                              
     56279	  4359-1-01	0	30	BX 	LB 	06/27/2011	3.103	1500	1776.1	26	30	1500	1776.1	5511.24	                              	                              	                              	                              
     56279	  1911-1-01	0	6	BX 	LB 	06/27/2011	3.823	390.12	443.2	6	6	390.12	443.2	1694.35	                              	                              	                              	                              
     56279	  7314-1-01	0	6	BX 	LB 	06/27/2011	3.103	390.02	492.7	6	6	390.02	492.7	1528.85	                              	                              	                              	                              
     56279	  1769-1-01	0	2	BX 	LB 	06/27/2011	3.973	120	114	2	2	120	114	452.92	                              	                              	                              	                              
     56279	  2321-1-01	0	5	BX 	LB 	06/27/2011	5.203	250	246.5	5	5	250	246.5	1282.54	                              	                              	                              	                              
     56279	  1603-1-01	0	20	BX 	LB 	06/27/2011	8.533	1500.04	1560.1	20	20	1500.04	1560.1	13312.33	                              	                              	                              	                              
     56279	  1632-1-01	0	20	BX 	LB 	06/27/2011	8.493	1500.04	1571.5	19	20	1500.04	1571.5	13346.75	                              	                              	                              	                              
     56279	  1369-1-01	0	2	BX 	LB 	06/27/2011	5.693	138.01	124	2	2	138.01	124	705.93	                              	                              	                              	                              
     56279	  1138-1-01	0	3	BX 	LB 	06/27/2011	5.713	225.01	237.4	3	3	225.01	237.4	1356.27	                              	                              	                              	                              
     56279	  1604-1-01	0	2	BX 	LB 	06/27/2011	5.193	144.01	171.4	2	2	144.01	171.4	890.08	                              	                              	                              	                              
     56280	  1374-1-01	0	2	BX 	LB 	06/27/2011	5.643	116	128.1	2	2	116	128.1	722.87	                              	                              	                              	                              
     56280	  1790-1-01	0	20	BX 	LB 	06/27/2011	5.693	1560.06	1458.6	18	20	1560.06	1458.6	8303.81	                              	                              	                              	                              
     56280	  1047-1-01	0	10	BX 	LB 	06/27/2011	5.263	500	745.2	10	10	500	745.2	3921.99	                              	                              	                              	                              
     56280	  1448-1-01	0	10	BX 	LB 	06/27/2011	5.683	580.01	780.6	10	10	580.01	780.6	4436.15	                              	                              	                              	                              
     56280	  1904-1-01	0	11	BX 	LB 	06/27/2011	2.693	550	907.8	11	11	550	907.8	2444.71	                              	                              	                              	                              
     56280	  2297-1-01	0	1	BX 	LB 	06/27/2011	2.153	55	62.4	1	1	55	62.4	134.35	                              	                              	                              	                              
     56280	  1675-1-01	0	4	BX 	LB 	06/27/2011	8.583	300.01	328.2	4	4	300.01	328.2	2816.94	                              	                              	                              	                              
     56280	  1523-1-01	0	10	BX 	LB 	06/27/2011	5.273	550.02	696.5	10	10	550.02	696.5	3672.64	                              	                              	                              	                              
     56280	  2304-1-01	0	4	BX 	LB 	06/27/2011	2.063	240.01	240.1	4	4	240.01	240.1	495.33	                              	                              	                              	                              
     56280	  4322-1-01	0	10	BX 	LB 	06/27/2011	3.703	700.04	677.4	10	10	700.04	677.4	2508.41	                              	                              	                              	                              
     56280	  1371-1-01	0	10	BX 	LB 	06/27/2011	8.403	600.02	886	11	10	600.02	886	7445.06	                              	                              	                              	                              
     56280	  1026-1-01	0	12	BX 	LB 	06/27/2011	7.063	884.3	740	12	12	884.3	740	5226.62	                              	                              	                              	                              
