DateOpened	LotNumber	DCTransactionNumber	ProductCode	Available_Alt	PricingUM	AlternateUM	Cost	Available_Prc	PalletID
09/08/2010	11385307  	11385307	   117-1-01	0	EA	EA	0	0	
09/13/2010	11393784  	11393784	   117-1-01	0	EA	EA	0	0	
09/22/2010	11418488  	11418488	   130-1-01	0	EA	EA	0	0	
09/28/2010	11432355  	11432355	   130-1-01	0	EA	EA	0	0	
05/11/2010	11146124  	11146124	   131-1-01	0	EA	EA	0.35	0	
07/02/2010	11251476  	11251476	   131-1-01	0	EA	EA	0.35	0	
07/02/2010	11251477  	11251477	   131-1-01	0	EA	EA	0.35	0	
07/02/2010	11251478  	11251478	   131-1-01	0	EA	EA	0.35	0	
07/02/2010	11251479  	11251479	   131-1-01	0	EA	EA	0.35	0	
07/02/2010	11251480  	11251480	   131-1-01	0	EA	EA	0.35	0	
07/02/2010	11251481  	11251481	   131-1-01	0	EA	EA	0.35	0	
09/14/2010	11399061  	11399061	   131-1-01	0	EA	EA	0.35	0	
09/20/2010	11413026  	11413084	   131-1-01	0	EA	EA	0.35	0	
05/24/2010	11171711  	11171711	   132-1-01	0	EA	EA	0.49	0	
06/03/2010	11193673  	11193673	   132-1-01	0	EA	EA	0.49	0	
06/08/2010	11201340  	11201340	   132-1-01	0	EA	EA	0.49	0	
06/21/2010	11225205  	11225205	   132-1-01	0	EA	EA	0.49	0	
08/09/2010	11323596  	11323596	   132-1-01	0	EA	EA	0.49	0	
08/12/2010	11331346  	11331346	   132-1-01	0	EA	EA	0.49	0	
08/23/2010	11351080  	11351080	   132-1-01	0	EA	EA	0.49	0	
09/08/2010	11385235  	11385235	   132-1-01	0	EA	EA	0.49	0	
09/13/2010	11393781  	11393781	   132-1-01	0	EA	EA	0.49	0	
09/20/2010	11409224  	11409224	   132-1-01	0	EA	EA	0.49	0	
09/20/2010	11413026  	11413026	   132-1-01	0	EA	EA	0.49	0	
11/08/2010	11528994  	11528994	   132-1-01	0	EA	EA	0.49	0	
01/12/2011	11677739  	11677739	   132-1-01	0	EA	EA	1.225	0	
