LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType
201103230602	03/23/2011	03/23/2011	9978	 66010-1-01	11845218  	2	1	10	11845218	101 	0		1
201103230609	03/23/2011	03/23/2011	1433	 16084-1-01	0025960068	17.9187	1	8.86	11845219	1   	0		3
201103230639	03/23/2011	03/23/2011	1952	 48501-1-01	15890618  	0.93	-1	-36.7	11845229	7330	12068	00001355        	4
201103230639	03/23/2011	03/23/2011	3626	 48504-1-01	15890618  	0.93	1	36.7	11845230	7331	12068		1
201103230648	03/23/2011	03/23/2011	9776	 55048-1-01	0000554386	8.95	1	22.9	11845231	8   	0		3
201103230700	03/23/2011	03/23/2011	9777	 43784-1-01	0000554387	3.58	1	10.7	11845232	8   	0		3
201103230703	03/23/2011	03/23/2011	1434	 34298-1-01	0025960069	3.5	1	10.96	11845233	1   	0		3
201103230704	03/23/2011	03/23/2011	1435	 34323-1-01	0025960070	7.5	1	10.66	11845234	1   	0		3
201103230704	03/23/2011	03/23/2011	1436	 32251-1-01	0025960071	4.5	1	15.12	11845235	1   	0		3
201103230705	03/23/2011	03/23/2011	1437	 15229-1-01	0025960072	12.5	1	14.14	11845236	1   	0		3
201103230705	03/23/2011	03/23/2011	1438	 32247-1-01	0025960073	7	1	13.2	11845237	1   	0		3
201103230705	03/23/2011	03/23/2011	8116	  6634-1-01	1068106803	2.35	-1	-38.25	11845238	7320	16103	00001329        	4
201103230705	03/23/2011	03/23/2011	7802	 66634-1-01	1068106803	2.55	1	38.25	11845239	7321	16103		1
201103230706	03/23/2011	03/23/2011	1439	 38511-1-01	0025960074	7.5	1	8.72	11845240	1   	0		3
201103230706	03/23/2011	03/23/2011	1440	 34125-1-01	0025960075	5.5	1	10.42	11845241	1   	0		3
201103230708	03/23/2011	03/23/2011	9778	 44205-1-01	0000554388	6.95	1	10.8	11845242	8   	0		3
201103230712	03/23/2011	03/23/2011	9779	 22126-1-01	0000554389	4.7	1	65.8	11845243	8   	0		3
201103230712	03/23/2011	03/23/2011	9780	 22126-1-01	0000554390	4.7	1	66.4	11845244	8   	0		3
201103230712	03/23/2011	03/23/2011	9781	 22126-1-01	0000554391	4.7	1	64	11845245	8   	0		3
201103230712	03/23/2011	03/23/2011	9782	 22126-1-01	0000554392	4.7	1	71.7	11845246	8   	0		3
201103230712	03/23/2011	03/23/2011	9783	 22126-1-01	0000554393	4.7	1	65	11845247	8   	0		3
201103230712	03/23/2011	03/23/2011	9784	 22126-1-01	0000554394	4.7	1	62.8	11845248	8   	0		3
201103230712	03/23/2011	03/23/2011	9785	 22126-1-01	0000554395	4.7	1	74.2	11845249	8   	0		3
201103230712	03/23/2011	03/23/2011	9786	 22126-1-01	0000554396	4.7	1	66.3	11845250	8   	0		3
201103230712	03/23/2011	03/23/2011	9787	 22126-1-01	0000554397	4.7	1	71.5	11845251	8   	0		3
201103230712	03/23/2011	03/23/2011	9788	 22126-1-01	0000554398	4.7	1	74	11845252	8   	0		3
201103230712	03/23/2011	03/23/2011	9789	 22126-1-01	0000554399	4.7	1	71	11845253	8   	0		3
201103230712	03/23/2011	03/23/2011	9790	 22126-1-01	0000554400	4.7	1	72.5	11845254	8   	0		3
201103230712	03/23/2011	03/23/2011	9791	 22126-1-01	0000554401	4.7	1	71.5	11845255	8   	0		3
201103230712	03/23/2011	03/23/2011	9792	 22126-1-01	0000554402	4.7	1	69.1	11845256	8   	0		3
201103230712	03/23/2011	03/23/2011	9793	 22126-1-01	0000554403	4.7	1	70.7	11845257	8   	0		3
201103230713	03/23/2011	03/23/2011	9794	 22126-1-01	0000554404	4.7	1	69.1	11845258	8   	0		3
201103230713	03/23/2011	03/23/2011	9795	 22126-1-01	0000554405	4.7	1	67.5	11845259	8   	0		3
201103230713	03/23/2011	03/23/2011	9796	 22126-1-01	0000554406	4.7	1	66.2	11845260	8   	0		3
