LineWarehouse	LineCode	LineType	Comments
1	1   	3	scale001
7	10  	3	Scale010
1	100 	1	I/R wh#1 FW Terminal
1	101 	1	Prod wh1 retail lbl
1	111 	1	Inv Rec Scanner 1
17	1110	1	Inv Rec Scanner 10
17	1111	1	Inv Rec Scanner 11
17	1112	1	Inv Rec Scanner 12
17	1113	1	inv rec scanner 13
17	1114	1	inv rec scanner 14
17	1115	1	inv rec scanner 15
10	1116	1	inv rec scanner16
17	1117	1	inv rec scanner 17
17	1118	1	inv rec scanner 18
17	1119	1	inv rec scanner 19
17	112 	1	Inv Rec Scanner 2
17	1120	1	inv rec scanner 20
17	113 	1	Inv Rec Scanner 3
17	114 	1	Inv Rec'd Scanner #4
17	115 	1	Inv Rec'd Scanner 5
17	116 	1	Inv Rec'd Scanner 6
17	117 	1	Inv Rec'd Scanner 7
17	118 	1	Inv Rec'd Scanner 8
17	119 	1	Inv Rec'd scanner 9
17	121 	2	R/M usage Scanner 1
17	1210	2	R/M usage scanner 10
17	1211	2	R/M usage scanner 11
17	1212	2	R/M usage scanner 12
17	1213	2	inv usage scanner 13
7	1214	4	inv usage scanner14
17	1215	2	inv usage scanner 15
17	1216	2	inv usage scanner 16
17	1217	2	R/M USAGE GUN 17
17	1218	2	R/M USAGE SCANNER 18
17	1219	2	usage scanner 19
17	122 	2	R/M usage Scanner 2
17	1220	2	usage scanner 20
17	123 	2	R/M usage scanner 3
17	124 	2	R/M usage scanner 4
1	125 	2	R/M usage scanner 5
17	126 	2	R/M usage scanner 6
17	127 	2	R/M usage scanner 7
17	128 	2	R/M usage scanner 8
17	129 	2	R/M usage Scanner 9
17	141 	4	Del Inv Scanner 1
1	1410	4	TATUM DEL INV
1	1411	4	MILTON RENTERIA RCV
1	1412	1	VINCE CUOMO
6	1413	4	CESAR RECEIVING
11	1414	2	inv del scanner 14
1	1415	4	Ross Bridge Deletes
1	1416	4	MILTON RENTERIA DEL
1	1417	1	RCVD MISSED INVENTOR
1	1418	4	TATUM DEL INV
1	1419	4	delete scanner 19
1	142 	4	Del Inv Scanner 2
1	1420	4	delete scanner 20
17	143 	4	Del Inv Scanner 3
17	144 	4	Del Inv Scanner 4
17	145 	4	Del Inv Scanner 5
17	146 	4	Del Inv Scanner 6
17	147 	4	Del Inv Scanner 7
1	148 	4	Del Inv Scanner 8
17	149 	4	Product Disposal
17	191 	1	IR prnt labl Scnr 1
17	1910	1	IR prnt labl Scnr 10
17	1911	1	IR prnt labl Scnr 11
17	1912	1	IR prnt labl Scnr 12
17	1913	1	ir label prnt scn 13
17	1914	1	ir print scn 14
17	1915	1	ir print scan 15
17	1916	1	ir print scan 16
17	1917	1	ir print scan 17
17	1918	1	ir print scan 18
