CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
4136	3.5	8	81.83	187.04		1	1	23.38	BX	81.83	587654	0	8	LB	 11443-1-01	STRIPLOIN STK BNLS VI PR			23.38	2	60	8	3.5	23.38	2	09/01/2010
67	2.9	3	58	60		1	1	20	BX	58	587655	0	3	LB	 78119-1-01	GROUND BEEF, GIBSONS			20	2	20	3	2.9	20	2	09/01/2010
3217	6.6172	0	347.54	348.21		1	1	52.52	BX	347.54	587656	0	6.63	LB	 42238-1-01	TENDERS, 4/UP PEELED COMERCIAL			52.52	4	64	6.63	6.6172	52.52	4	09/01/2010
3217	2.5	0	126.75	234.74		4	1	50.7	BX	126.75	587656	0	4.63	LB	 42274-1-01	BEEF, PEPPER STK STRIP/RIB EYE			50.7	4	40	4.63	2.5	50.7	4	09/01/2010
3217	5.65	0	891.58	992.56		5	1	157.8	BX	891.58	587656	0	6.29	LB	 31350-1-01	BEEF, RIB EYE 15/UP 2" LIP CH			157.8	2	150	6.29	5.65	157.8	2	09/01/2010
3217	5.4167	0	48.97	76.57		6	1	9.04	BX	48.97	587656	0	8.47	LB	 33154-1-01	BEEF, TOP SIRLOIN 12-OZ 1184F			9.04	1	10.5	8.47	5.4167	9.04	1	09/01/2010
3217	13.71	0	276.39	317.72		7	1	20.16	BX	276.39	587656	0	15.76	LB	 42315-1-01	FILET, 6-OZ 1190A E/E SEL	SILVER SKIN OFF		20.16	2	19.5	15.76	13.71	20.16	2	09/01/2010
3217	5.9006	0	117.78	171.66		8	1	19.96	BX	117.78	587656	0	8.6	LB	 34589-1-01	BEEF,10-OZ CULOTTE 2/PKG 1184D			19.96	2	20	8.6	5.9006	19.96	2	09/01/2010
3266	5.35	0	68.91	78.05		1	1	12.88	BX	68.91	587657	0	6.06	LB	 66433-1-01	BACON, NUESKE SLAB			12.88	1	10	6.06	5.35	12.88	1	09/01/2010
3266	1.54	0	21.1	24.52		2	1	13.7	BX	21.1	587657	0	1.79	LB	 65986-1-01	PORK, BOSTON BUTT BNLS 406A			13.7	1	16	1.79	1.54	13.7	1	09/01/2010
748	15.0927	16.5	1022.08	1117.38		1	1	67.72	BX	1022.08	587658	0	16.5	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			67.72	5	65.63	16.5	15.0927	67.72	5	09/01/2010
748	3.5	8	41.23	94.24		2	1	11.78	BX	41.23	587658	0	8	LB	 11443-1-01	STRIPLOIN STK BNLS VI PR			11.78	1	30	8	3.5	11.78	1	09/01/2010
3691	14.59	17.35	87.54	104.1		1	1	6	BX	87.54	587659	0	17.35	BX	 99005-1-01	PEACHES & CREAM CORN 104795			6	6	6	17.35	14.59	6	6	09/01/2010
3691	3.82	4.08	110.7	122.4		2	1	30	BX	110.7	587659	0	4.08	LB	 66251-1-01	BACON, BITS			30	3	30	4.08	3.82	30	3	09/01/2010
3691	13.71	16.05	1038.67	1215.95		3	1	75.76	BX	1038.67	587659	0	16.05	LB	 42363-1-01	FILET, 10-OZ 1190 WILDFIRE SEL			75.76	6	75	16.05	13.71	75.76	6	09/01/2010
3691	4.55	8.05	43.23	76.48		4	1	9.5	BX	43.23	587659	0	8.05	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			9.5	1	10	8.05	4.55	9.5	1	09/01/2010
3691	13.71	16.05	482.87	565.28		5	1	35.22	BX	482.87	587659	0	16.05	LB	 42361-1-01	FILET, 7-OZ 1190 WILDFIRE SEL			35.22	4	35	16.05	13.71	35.22	4	09/01/2010
3691	16.2129	19.65	156.62	189.82		6	1	9.66	BX	156.62	587659	0	19.65	LB	 34953-1-01	FILET, 15-OZ BI CH WILDFIRE			9.66	1	9.38	19.65	16.2129	9.66	1	09/01/2010
3691	9.75	11.25	703.18	811.35		7	1	72.12	BX	703.18	587659	0	11.25	LB	 35170-1-01	FILET, 3-OZ 1190A 3/PK			72.12	6	67.5	11.25	9.75	72.12	6	09/01/2010
3691	8	10.85	345.12	468.07		8	1	43.14	BX	345.12	587659	0	10.85	LB	 16818-1-01	STRIPSTK, 14-OZ BNLS VN 1 SIDE			43.14	5	43.75	10.85	8	43.14	5	09/01/2010
3691	9.53	11.2	235.97	277.31		9	1	24.76	BX	235.97	587659	0	11.2	LB	 35712-1-01	BEEF, RIB CHOP 18/20 OZ BI CH			24.76	2	22.5	11.2	9.53	24.76	2	09/01/2010
3691	5.95	6.8	446.85	510.68		10	1	75.1	BX	446.85	587659	0	6.8	LB	 31333-1-01	BEEF, RIB EYE 2" 13 1/2 UP CH			75.1	1	67.5	6.8	5.95	75.1	1	09/01/2010
3691	3.29	3.5	98.7	105		11	1	30	BX	98.7	587659	0	3.5	LB	 66465-1-01	BACON, 14/17 15# BOX FROZEN			30	2	30	3.5	3.29	30	2	09/01/2010
3691	9.229	11.15	161.14	194.68		12	1	17.46	BX	161.14	587659	0	11.15	LB	 35959-1-01	BEEF, SKIRT STEAK 14-OZ CC			17.46	2	17.5	11.15	9.229	17.46	2	09/01/2010
3691	7	8.5	96.18	116.79		13	1	13.74	BX	96.18	587659	0	8.5	LB	 32247-1-01	BEEF, TENDER TAILS 1190A CH			13.74	1	12	8.5	7	13.74	1	09/01/2010
3691	10.7419	12.9	120.95	145.25		14	1	11.26	BX	120.95	587659	0	12.9	LB	 55256-1-01	LAMB, P-HOUSE 6-OZ NT CH			11.26	2	11.2	12.9	10.7419	11.26	2	09/01/2010
3691	3.55	3.88	108.99	119.12		15	1	30.7	BX	108.99	587659	0	3.88	LB	 66512-1-01	PORK, BACKRIBS 1 3/4DN SKD			30.7	1	30	3.88	3.55	30.7	1	09/01/2010
3691	2.6	2.93	82.68	93.17		16	1	31.8	BX	82.68	587659	0	2.93	LB	 66507-1-01	PORK, 2/DN ST. LOUIS			31.8	1	30	2.93	2.6	31.8	1	09/01/2010
