OrderNumber	OrderDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	InvoiceDate	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate
589809	10/01/2010	92	Posted To General Ledger	1475	3	27	361		JS	14342.67	3379 PEACHTREE ROAD NE		ATLANTA	MORTON'S - BUCKHEAD	GA	30326	3379 PEACHTREE ROAD NE		ATLANTA	MORTON'S - BUCKHEAD	GA	30326	843.9	0	0	10/01/2010	1	14342.67	09/30/2010	14342.67	Net 30 Days	09/30/2010
589910	10/01/2010	92	Posted To General Ledger	1305	19	17	101		JS	5158.87	100 EAST ONTARIO		CHICAGO	LAWRYS	IL	60611	100 EAST ONTARIO		CHICAGO	LAWRY'S - CHICAGO	IL	60611	941.4	40	0	10/01/2010	1	5158.87	10/01/2010	5158.87	10th EOM	10/01/2010
589911	10/01/2010	92	Posted To General Ledger	183	9	0	101		JS	1041.03	10027 SKOKIE BLVD		SKOKIE	E.J'S PLACE	IL	60076-1026	10027 SKOKIE BLVD		SKOKIE	E.J'S PLACE	IL	60076-1026	159.05	40	0	10/01/2010	1	1041.03	10/01/2010	1041.03	Net 30 Days	10/01/2010
589912	10/01/2010	92	Posted To General Ledger	3491	9	10	101		JS	1623	412 N. MILWAUKEE AVE.		WHEELING	PETE MILLERS SEAFOOD & PRIME	IL	60090	PETE MILLER'S - WHEELING	412 N. MILWAUKEE AVE.	WHEELING	THE CLEAN PLATE CLUB-PETE MILL	IL	60090	118.49	40	0	10/01/2010	1	1623	10/01/2010	1623	COD - Check	10/01/2010
589913	10/01/2010	92	Posted To General Ledger	2024	9	27	101		JS	2466.76	437 NO. RUSH		CHICAGO	437 RUSH	IL	60611	437 NO. RUSH		CHICAGO	437 RUSH	IL	60611	140.78	40	0	10/01/2010	1	2466.76	10/01/2010	2466.76	Net 30 Days	10/01/2010
589914	10/01/2010	92	Posted To General Ledger	437	7	27	101		JS	345.35	1255 SHERIDAN ROAD	   	GLENCOE	LAKE SHORE COUNTRY CLUB	IL	60022	1255 SHERIDAN RD	 	GLENCOE	LAKE SHORE COUNTRY CLUB	IL	60022	113.6	40	0	10/01/2010	1	345.35	10/01/2010	345.35	10th EOM	10/01/2010
589915	10/01/2010	92	Posted To General Ledger	3745	7	9	101		JS	742.11	33 BURLINGTON AVE.		RIVERSIDE	CHEW CHEW CAFE	IL	60546	33 BURLINGTON AVE.		RIVERSIDE	CHEW CHEW CAFE	IL	60546	72.64	40	0	10/01/2010	1	742.11	10/01/2010	742.11	Net 30 Days	10/01/2010
589916	10/01/2010	92	Posted To General Ledger	689	9	17	101		DB	1973.67	318 NORTH STATE		CHICAGO,	SMITH & WOLLENSKY - CHGO	IL	60610	318 NORTH STATE		CHICAGO	SMITH & WOLLENSKY - CHGO	IL	60610	106.56	40	0	10/01/2010	1	1973.67	10/01/2010	1973.67	5% PROMPT PA	10/01/2010
589917	10/01/2010	92	Posted To General Ledger	216	9	37	432		DB	5515.51	4300 LEMMON AVENUE		DALLAS	BOB'S STEAK & CHOP HOUSE	TX	75219	4300 LEMMON AVENUE		DALLAS	BOB'S STEAK & CHOP - DALLAS	TX	75219	423.54	65	0	10/01/2010	1	5515.51	10/01/2010	5515.51	Net 10 days	10/01/2010
589918	10/01/2010	92	Posted To General Ledger	1822	9	37	101		DB	791.54	700 E. GRAND	 	CHICAGO	RIVA	IL	60611	C/O STEFANI MANAGEMENT SERVICE	1033 W VAN BUREN ST FL 5	CHICAGO	RIVA RESTAURANT - CHICAGO	IL	60607	140.88	40	0	10/01/2010	1	791.54	10/01/2010	791.54	Net 30 Days	10/01/2010
