CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
938	0.93	1.02	75.89	83.23		1	1	81.6	BX	75.89	593060	0	1.02	LB	 48504-1-01	BEEF, BONES CUT - MARROW BONES			81.6	2	70	1.02	0.93	81.6	2	11/12/2010
938	2.33	2.63	112.42	126.9		2	1	48.25	BX	112.42	593060	0	2.63	LB	 66634-1-01	PORK, LOIN BNLS LIP OFF			48.25	1	30	2.63	2.33	48.25	1	11/12/2010
938	4.55	8.35	43.04	78.99		3	1	9.46	BX	43.04	593060	0	8.35	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			9.46	1	10	8.35	4.55	9.46	1	11/12/2010
938	7.05	8.05	432.87	494.27		4	1	61.4	BX	432.87	593060	0	8.05	LB	 44205-1-01	BEEF, BNLS SHORT RIB 123D NVL			61.4	6	174	8.05	7.05	61.4	6	11/12/2010
938	3.82	4.08	110.7	122.4		5	1	30	BX	110.7	593060	0	4.08	LB	 66251-1-01	BACON, BITS			30	3	30	4.08	3.82	30	3	11/12/2010
938	3.55	3.88	526.12	575.02		6	1	148.2	BX	526.12	593060	0	3.88	LB	 66512-1-01	PORK, BACKRIBS 1 3/4DN SKD			148.2	5	150	3.88	3.55	148.2	5	11/12/2010
938	2.6	2.93	81.46	91.8		7	1	31.33	BX	81.46	593060	0	2.93	LB	 66507-1-01	PORK, 2/DN ST. LOUIS			31.33	1	30	2.93	2.6	31.33	1	11/12/2010
938	8	10.85	274.4	372.16		8	1	34.3	BX	274.4	593060	0	10.85	LB	 16818-1-01	STRIPSTK, 14-OZ BNLS VN 1 SIDE			34.3	4	35	10.85	8	34.3	4	11/12/2010
938	7.2	10.05	202.61	282.81		9	1	28.14	BX	202.61	593060	0	10.05	LB	 36058-1-01	BEEF, P-HOUSE 22-OZ 1" CH			28.14	2	27.5	10.05	7.2	28.14	2	11/12/2010
938	7	8.5	272.58	330.99		10	1	38.94	BX	272.58	593060	0	8.5	LB	 32247-1-01	BEEF, TENDER TAILS 1190A CH			38.94	3	36	8.5	7	38.94	3	11/12/2010
