CustomerCode	Name	Address1	Address2	City	State	Zip
1	CEILING ZERO	500 ANTHONY		NORTHBROOK	IL	60062
2	CARLOS RESTAURANT	429 TEMPLE STREET		HIGHLAND PARK	IL	60035
3	CHILI'S -SKOKIE	5435 W TOUHY AVENUE		SKOKIE	IL	60077
4	FREEDMAN'S	445 SKOKIE BLVD		NORTHBROOK	IL	60000
5	WILDFIRE - ERIE - INACTIVE	159 W ERIE STREET		CHICAGO	IL	60610
6	OSTERIA VIA STATO	620 N STATE ST	 	CHICAGO	IL	60000
7	SCOOZI	410 W HURON STREET		CHICAGO	IL	60610
8	CLUBHOUSE INTERNATIONAL	298 OAKBROOK CENTER		OAKBROOK	IL	60523
9	ST ANDREW'S STEAKHOUSE	29000 HIGHWAY US19		CLEARWATER	FL	33761
10	BISTECCA - FASHION MALL	7014 E. CAMELBACK ROAD		SCOTTSDALE	AZ	85251
11	FOG CITY - AZ	7014616 E. CAMELBACK ROAD		SCOTTSDALE	AZ	85251
12	MAGGIANO'S - COSTA MESA	3333 BRISTOL STREET		COSTA MESA	CA	92626
13	MAGGIANO'S-WOODFIELD	1901 E WOODFIELD ROAD		SCHAUMBURG	IL	60173
14	MAISONETTE	114 E 6TH STREET		CINCINNATI	OH	45202
15	OFF TRACK BETTING - OAKBROOK	17 W. 648 22ND STREET		OAKBROOK TERRACE	IL	60521
16	CORNER BAKERY - SANTA FE	224 S. MICHIGAN AVE		CHICAGO	IL	60611
17	RED CEDAR GRILL	150 N. GRAND RIVER		WILLIAMSTON	MI	48895
18	SCANDALS	4024 HIGHWAY 17 BUSINESS		MURRELLS INLET	SC	29576
19	MADAM B'S	3441 N. HALSTED		CHICAGO	IL	60657
20	OFF TRACK BETTING - JACKSON	223 W. JACKSON		CHICAGO	IL	60606
21	RED FISH CHICAGO	400 N. STATE STREET		CHICAGO	IL	60612
22	BIG BOWL - LINCOLNSHIRE	215 PARKWAY DRIVE		LINCOLNSHIRE	IL	60069
23	GINO'S EAST	1321 GOLF ROAD		ROLLING MEADOWS	IL	60008
24	CORNER BAKERY COMMISSARY	2711 W. GEORGE STREET		CHICAGO	IL	60618
25	BUCKEYE	15 SHORELINE HIGHWAY		MILL VALLEY	CA	94941
26	MAGGIANO'S - DENVER	500 16TH STREET		DENVER	CO	80202
27	TONIC	661 N. CLARK		CHICAGO	IL	60610
28	BRIO	10 WEST HUBBARD		CHICAGO	IL	60610
29	GRADISHAR SONS INC.	P.O. BOX 6756		BROADVIEW	IL	60153
30	PREFERRED MEATS OF SAN FRAN.	P.O. BOX 883122		SAN FRANCISCO	CA	94188-3122
31	BUBBA GUMPS	300 E. ILLINOIS	NAVY PIER	CHICAGO	IL	60611
32	MANDALAY BAY	P.O. BOX 98880		LAS VEGAS	NV	89193-8880
33	CASINO CLUB 	195 EAST DELAWARE STREET		CHICAGO	IL	60611
34	FAHRENHEIT	695 N MILWAUKEE		CHICAGO	IL	60622
35	POMPEI - OAK BROOK TERRACE	17 W 744 22ND STREET		OAK BROOK TERRACE	IL	60181
36	TAM O'SHANTER	2980 LAS FELIZ BLVD		LOS ANGELES	CA	90039
37	TIMBERLINE MEATS INC.	1260 BERGEN PARKWAY		EVERGREEN	CO	80439
38	TONY ROMA'S	6530 EAST 82ND STREET		INDIANAPOLIS	IN	46250
39	CARMEL MEAT SPECIALTY FOODS	3345 PAUL DAVIS DRIVE		MARINA	CA	93933
40	F & M MEATS	8561 ZIONSVILLE ROAD		INDIANAPOLIS	IN	46268
41	THE GRILL-BEVERLY HILLS	9560 DAYTON WAY		BEVERLY HILLS	CA	90210
42	J.J. FINNEGAN'S	1494 SPRING HILL MALL		WEST DUNDEE	IL	60118
43	GOLDDUST STEAK HOUSE	21661 NO. MILWAUKEE AVE		LINCOLNSHIRE	IL	60069
44	ADVANCE COMMODITIES INC.	1111 PLAZA DRIVE	SUITE 680	SCHAUMBURG	IL	60173
45	SHETAKIS WHOLESALERS, INC.	PO BOX 14987		LAS VEGAS	NV	89114
46	TRU	676 N. ST CLAIR		CHICAGO	IL	60611
47	GIOVANNI'S WORLD'S BEST RIBS	6823 ROOSEVELT ROAD		BERWYN	IL	60402
48	SONG OF SIX PENCE	735 E. ELM STREET		WINNETKA	IL	60092
49	TAVERN CLUB	333 N MICHIGAN AVENUE		CHICAGO	IL	60601
50	MORTONS_- DO NOT USE					
51	MORTON'S - CORPORATE OFFICE	325 N LASALLE ST	SUITE 500	CHICAGO	IL	60610
52	MORTON'S CORPORATE OFFICE					
53	MORTON'S CORPORATE ACCOUNT					
54	GROWERS REFRIGERATION COMPANY	PUBLIC COLD STORAGE WAREHOUSE	2050 GALVEZ AVE.	SAN FRANCISCO	CA	94124
55	NICK & SAMS	3008 MAPLE AVE		DALLAS	TX	75201
56	CHINN'S 34TH STREET FISHERY	3011 W OGDEN AVENUE		LISLE	IL	60532
57	WYNDHAM CHICAGO HOTEL	COLUMBIA SUSSEX	633 N ST. CLAIRE	CHICAGO	IL	60611
58	ROY-N-NADINES	3735 PALOMAR DRIVE 	SUITE 190	LEXINGTON	KY	40513
59	WHITTAKER WOODS GOLF COMMUNITY	12578 WILSON ROAD		NEW BUFFALO	MI	49117
60	GALT HOUSE	140 N 4TH STREET		LOUISVILLE	KY	40202
61	DELICIA, LTD.	35TH FLOOR-ASIA TRADE CENTER	79 LEI MUK RD-KWAI CHUNG N.T.	HONG KONG	  	
62	AL BIERNAT'S             	4217 OAKLAWN AVENUE		DALLAS	TX	75219
63	CIRCUS NITE CLUB	901 WEST WEED STREET		CHICAGO	IL	60622
64	MUSTARD'S	7399 ST. HELENA HY		NAPA	CA	94558
65	KINGSTON MINES	2548 NO. HALSTED		CHICAGO	IL	60614
66	POMPEI BAKERY - TAYLOR        	1531 W. TAYLOR STREET		CHICAGO	IL	60607
67	RALPH LAUREN	115 E CHICAGO		CHICAGO	IL	60611
68	CY'S STEAK & CHOP HOUSE	4138 N. LINCOLN AVE.		CHICAGO	IL	60618
69	LAWRYS THE PRIME RIB SINGAPORE	290 ORCHARD ROAD	#02-42/44 PARAGON	SINGAPORE 238859		 
70	LOBSTER GRAM	4664 NORTH LOWELL	SUITE 2A	CHICAGO	IL	60630     
71	WILDFIRE - LINCOLN	235 PARKWAY DR.		LINCOLNSHIRE	IL	60069
72	PAUL LAPPING - NO TAX			CHICAGO	IL	60612
73	PAUL LAPPING - TAX			CHICAGO	IL	60612
74	PASTA RIA	3109 NO. HALSTED		CHICAGO	IL	60657
75	LETTUCE ENTERTAIN YOU COSTING	COSTING ONLY FILE				
76	CHILLIO	311 NO. ABERDEEN		CHICAGO	IL	60607
77	BRITTANY CAFE	5214 ATLANTIC AVE.		ATLANTIC CITY	NJ	08401
78	CAMP OJIBWA	4040 OJIBWA DRIVE		EAGLE RIVER	WI	54521
79	BANDERA INACTIVE  	535 N. MICHIGAN AVE		CHICAGO	IL	60611
80	MAGGIANO'S MASTER LIST        					
81	CHISPANIC/MING DYNASTY	801 ATLANTIC AVE		EGG HARBOR	NJ	08215
82	WYNDHAM MIAMI BEACH RESORT	4833 COLLINS AVE		MIAMI BEACH	FL	33140
83	HURSTBOURNE COUNTRY CLUB	ATTN:  ACCOUNTS PAYABLE	P.O. BOX 22157	LOUISVILLE	KY	40252-0157
