CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
1475	17.336	20.81	1305.05	1566.58		1	1	75.28	BX	1305.05	589809	0	20.81	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2 PR			75.28	5	75	20.81	17.336	75.28	5	10/01/2010
1475	17.336	20.84	523.89	629.78		2	1	30.22	BX	523.89	589809	0	20.84	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2 PR			30.22	2	30	20.84	17.336	30.22	2	10/01/2010
1475	17.336	20.84	309.62	372.2		3	1	17.86	BX	309.62	589809	0	20.84	LB	 16084-1-01	BEEF, P-HOUSE 48-OZ MORTON PR			17.86	2	18	20.84	17.336	17.86	2	10/01/2010
1475	17.1524	18.11	1770.12	1868.95		4	1	103.2	BX	1770.12	589809	0	18.11	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			103.2	7	105	18.11	17.1524	103.2	7	10/01/2010
1475	12.6247	13.83	1914.17	2096.9		5	1	151.62	BX	1914.17	589809	0	13.83	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			151.62	10	150	13.83	12.6247	151.62	10	10/01/2010
1475	21.2978	22.79	276.02	295.36		6	1	12.96	BX	276.02	589809	0	22.79	LB	 55285-1-01	LAMB, RIB CHOP 6-OZ FRD CH			12.96	1	12.38	22.79	21.2978	12.96	1	10/01/2010
1475	17.1524	18.11	4003.01	4226.51		7	1	233.38	BX	4003.01	589809	0	18.11	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			233.38	18	229.5	18.11	17.1524	233.38	18	10/01/2010
1475	2.74	3.34	76.2	100.2		8	1	30	BX	76.2	589809	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			30	2	30	3.34	2.74	30	2	10/01/2010
1475	7.7954	8.87	180.85	205.78		9	1	23.2	PC	180.85	589809	0	8.87	LB	 10009-1-01	BEEF, EXPORT RIB 5 BONE PR			23.2	2	26	8.87	7.7954	23.2	1	10/01/2010
1475	0	10.35	0	20.7		10	1	2	BX	0	589809	0	10.35	BX	 99413-1-01	CHEESECAKE, MORTONS			2	2	2	10.35	0	2	2	10/01/2010
